epoch,S,Fw,E,MAE
30,0.8474,0.7781,0.9111,0.0635
35,0.8307,0.7549,0.9110,0.0705
40,0.8436,0.7731,0.9107,0.0627
45,0.8393,0.7753,0.9112,0.0622
50,0.8413,0.7766,0.9071,0.0631
55,0.8422,0.7808,0.9071,0.0618
60,0.8387,0.7765,0.9040,0.0617
65,0.8443,0.7836,0.9087,0.0599
70,0.8428,0.7864,0.9123,0.0608
75,0.8162,0.7279,0.8995,0.0747
80,0.8451,0.7892,0.9111,0.0612
85,0.8413,0.7819,0.9079,0.0616
90,0.8413,0.7843,0.9077,0.0626
95,0.8332,0.7606,0.8922,0.0674
100,0.8464,0.7907,0.9109,0.0582
105,0.8435,0.7872,0.9092,0.0601
110,0.8455,0.7919,0.9124,0.0572
115,0.8440,0.7906,0.9106,0.0597
120,0.8422,0.7905,0.9115,0.0601
125,0.8433,0.7912,0.9124,0.0590
130,0.8430,0.7915,0.9128,0.0587
135,0.8421,0.7910,0.9118,0.0587
140,0.8420,0.7908,0.9110,0.0590
145,0.8427,0.7918,0.9114,0.0588
150,0.8433,0.7926,0.9127,0.0586
