epoch,S,Fw,E,MAE
30,0.8575,0.7391,0.9304,0.0284
35,0.8452,0.7260,0.9272,0.0307
40,0.8572,0.7421,0.9326,0.0276
45,0.8581,0.7487,0.9341,0.0266
50,0.8588,0.7482,0.9334,0.0271
55,0.8577,0.7555,0.9314,0.0264
60,0.8590,0.7570,0.9343,0.0259
65,0.8619,0.7606,0.9342,0.0254
70,0.8578,0.7566,0.9313,0.0262
75,0.8452,0.7218,0.9306,0.0311
80,0.8600,0.7613,0.9332,0.0257
85,0.8590,0.7584,0.9307,0.0261
90,0.8593,0.7602,0.9326,0.0266
95,0.8465,0.7289,0.9179,0.0312
100,0.8600,0.7627,0.9315,0.0258
105,0.8597,0.7613,0.9313,0.0263
110,0.8618,0.7688,0.9331,0.0250
115,0.8604,0.7679,0.9323,0.0261
120,0.8587,0.7655,0.9289,0.0262
125,0.8608,0.7683,0.9310,0.0256
130,0.8602,0.7684,0.9310,0.0255
135,0.8601,0.7693,0.9318,0.0255
140,0.8601,0.7687,0.9316,0.0254
145,0.8601,0.7694,0.9310,0.0255
150,0.8599,0.7694,0.9312,0.0255
