epoch,stage,total,bce
1,C3_broad_1to1,0.432755,0.432755
2,C3_broad_1to1,0.265361,0.265361
3,C3_broad_1to1,0.173551,0.173551
4,C3_broad_1to1,0.124316,0.124316
5,C3_broad_1to1,0.094101,0.094101
6,C3_broad_1to1,0.073871,0.073871
7,C3_broad_1to1,0.060357,0.060357
8,C3_broad_1to1,0.054935,0.054935
9,C3_broad_1to1,0.047158,0.047158
10,C3_broad_1to1,0.039135,0.039135
11,C3_broad_1to1,0.037088,0.037088
12,C3_broad_1to1,0.034927,0.034927
13,C3_broad_1to1,0.031034,0.031034
14,C3_broad_1to1,0.028967,0.028967
15,C3_broad_1to1,0.028473,0.028473
16,C3_broad_1to1,0.026626,0.026626
17,C3_broad_1to1,0.025834,0.025834
18,C3_broad_1to1,0.026272,0.026272
19,C3_broad_1to1,0.024521,0.024521
20,C3_broad_1to1,0.022577,0.022577
21,C3_broad_1to1,0.025043,0.025043
22,C3_broad_1to1,0.023790,0.023790
23,C3_broad_1to1,0.020490,0.020490
24,C3_broad_1to1,0.019946,0.019946
25,C3_broad_1to1,0.022139,0.022139
26,C3_broad_1to1,0.022647,0.022647
27,C3_broad_1to1,0.020586,0.020586
28,C3_broad_1to1,0.020351,0.020351
29,C3_broad_1to1,0.018719,0.018719
30,C3_broad_1to1,0.018688,0.018688
31,C3_broad_1to1,0.017808,0.017808
32,C3_broad_1to1,0.018110,0.018110
33,C3_broad_1to1,0.018181,0.018181
34,C3_broad_1to1,0.017115,0.017115
35,C3_broad_1to1,0.018896,0.018896
36,C3_broad_1to1,0.019764,0.019764
37,C3_broad_1to1,0.016695,0.016695
38,C3_broad_1to1,0.017410,0.017410
39,C3_broad_1to1,0.017039,0.017039
40,C3_broad_1to1,0.016492,0.016492
41,C3_broad_1to1,0.016556,0.016556
42,C3_broad_1to1,0.016106,0.016106
43,C3_broad_1to1,0.015562,0.015562
44,C3_broad_1to1,0.015395,0.015395
45,C3_broad_1to1,0.015125,0.015125
46,C3_broad_1to1,0.014601,0.014601
47,C3_broad_1to1,0.014495,0.014495
48,C3_broad_1to1,0.015073,0.015073
49,C3_broad_1to1,0.014999,0.014999
50,C3_broad_1to1,0.015210,0.015210
51,C3_broad_1to1,0.014233,0.014233
52,C3_broad_1to1,0.015452,0.015452
53,C3_broad_1to1,0.014279,0.014279
54,C3_broad_1to1,0.014758,0.014758
55,C3_broad_1to1,0.013884,0.013884
56,C3_broad_1to1,0.014267,0.014267
57,C3_broad_1to1,0.013360,0.013360
58,C3_broad_1to1,0.014389,0.014389
59,C3_broad_1to1,0.013250,0.013250
60,C3_broad_1to1,0.013294,0.013294
61,C3_anneal,0.013569,0.013569
62,C3_anneal,0.013722,0.013722
63,C3_anneal,0.014167,0.014167
64,C3_anneal,0.013328,0.013328
65,C3_anneal,0.012897,0.012897
66,C3_anneal,0.012883,0.012883
67,C3_anneal,0.011947,0.011947
68,C3_anneal,0.012952,0.012952
69,C3_anneal,0.011967,0.011967
70,C3_anneal,0.013090,0.013090
71,C3_anneal,0.012817,0.012817
72,C3_anneal,0.012746,0.012746
73,C3_anneal,0.013152,0.013152
74,C3_anneal,0.012471,0.012471
75,C3_anneal,0.012401,0.012401
76,C3_anneal,0.012139,0.012139
77,C3_anneal,0.012380,0.012380
78,C3_anneal,0.012090,0.012090
79,C3_anneal,0.011589,0.011589
80,C3_anneal,0.011795,0.011795
81,C3_anneal,0.011900,0.011900
82,C3_anneal,0.012332,0.012332
83,C3_anneal,0.011545,0.011545
84,C3_anneal,0.011523,0.011523
85,C3_anneal,0.012139,0.012139
86,C3_anneal,0.011129,0.011129
87,C3_anneal,0.011079,0.011079
88,C3_anneal,0.011731,0.011731
89,C3_anneal,0.011611,0.011611
90,C3_anneal,0.010535,0.010535
91,C3_anneal,0.011265,0.011265
92,C3_anneal,0.010698,0.010698
93,C3_anneal,0.011480,0.011480
