epoch,S,Fw,E,MAE
30,0.8353,0.7600,0.9017,0.0669
35,0.8456,0.7744,0.9080,0.0624
40,0.8303,0.7569,0.8976,0.0687
45,0.8419,0.7763,0.9089,0.0640
50,0.8398,0.7790,0.9083,0.0627
55,0.8433,0.7792,0.9095,0.0612
60,0.8385,0.7779,0.9102,0.0634
65,0.8248,0.7576,0.8994,0.0668
70,0.8375,0.7772,0.9036,0.0647
75,0.8418,0.7837,0.9109,0.0625
80,0.8434,0.7839,0.9097,0.0603
85,0.8381,0.7794,0.9105,0.0630
90,0.8385,0.7789,0.9069,0.0622
95,0.8380,0.7804,0.9038,0.0630
100,0.8395,0.7823,0.9063,0.0624
105,0.8389,0.7814,0.9090,0.0610
110,0.8409,0.7866,0.9081,0.0597
115,0.8460,0.7916,0.9145,0.0582
120,0.8407,0.7839,0.9088,0.0612
125,0.8436,0.7902,0.9118,0.0592
130,0.8431,0.7905,0.9112,0.0590
135,0.8414,0.7889,0.9100,0.0598
140,0.8416,0.7891,0.9097,0.0595
145,0.8400,0.7868,0.9085,0.0596
150,0.8402,0.7877,0.9083,0.0595
