epoch,S,Fw,E,MAE
30,0.8576,0.7366,0.9308,0.0283
35,0.8566,0.7382,0.9287,0.0288
40,0.8494,0.7293,0.9224,0.0294
45,0.8581,0.7456,0.9310,0.0272
50,0.8598,0.7531,0.9317,0.0269
55,0.8597,0.7543,0.9313,0.0262
60,0.8579,0.7538,0.9295,0.0270
65,0.8553,0.7529,0.9324,0.0262
70,0.8610,0.7587,0.9351,0.0265
75,0.8591,0.7601,0.9301,0.0264
80,0.8595,0.7552,0.9324,0.0261
85,0.8587,0.7600,0.9314,0.0265
90,0.8596,0.7599,0.9329,0.0261
95,0.8589,0.7618,0.9320,0.0258
100,0.8609,0.7627,0.9320,0.0263
105,0.8623,0.7663,0.9334,0.0255
110,0.8629,0.7693,0.9342,0.0249
115,0.8608,0.7656,0.9324,0.0254
120,0.8583,0.7635,0.9305,0.0259
125,0.8616,0.7687,0.9335,0.0251
130,0.8621,0.7700,0.9334,0.0248
135,0.8620,0.7704,0.9332,0.0249
140,0.8623,0.7708,0.9334,0.0248
145,0.8616,0.7715,0.9337,0.0247
150,0.8620,0.7718,0.9335,0.0247
