epoch,stage,total,bce
1,C3_broad_1to1,0.430806,0.430806
2,C3_broad_1to1,0.257284,0.257284
3,C3_broad_1to1,0.171895,0.171895
4,C3_broad_1to1,0.122279,0.122279
5,C3_broad_1to1,0.090958,0.090958
6,C3_broad_1to1,0.074254,0.074254
7,C3_broad_1to1,0.060851,0.060851
8,C3_broad_1to1,0.052799,0.052799
9,C3_broad_1to1,0.044517,0.044517
10,C3_broad_1to1,0.042174,0.042174
11,C3_broad_1to1,0.037703,0.037703
12,C3_broad_1to1,0.035753,0.035753
13,C3_broad_1to1,0.032852,0.032852
14,C3_broad_1to1,0.030412,0.030412
15,C3_broad_1to1,0.028074,0.028074
16,C3_broad_1to1,0.028240,0.028240
17,C3_broad_1to1,0.026189,0.026189
18,C3_broad_1to1,0.025074,0.025074
19,C3_broad_1to1,0.024556,0.024556
20,C3_broad_1to1,0.024485,0.024485
21,C3_broad_1to1,0.025593,0.025593
22,C3_broad_1to1,0.022755,0.022755
23,C3_broad_1to1,0.022168,0.022168
24,C3_broad_1to1,0.020932,0.020932
25,C3_broad_1to1,0.020437,0.020437
26,C3_broad_1to1,0.020523,0.020523
27,C3_broad_1to1,0.020009,0.020009
28,C3_broad_1to1,0.019163,0.019163
29,C3_broad_1to1,0.019976,0.019976
30,C3_broad_1to1,0.018854,0.018854
31,C3_broad_1to1,0.019344,0.019344
32,C3_broad_1to1,0.018174,0.018174
33,C3_broad_1to1,0.017964,0.017964
34,C3_broad_1to1,0.019577,0.019577
35,C3_broad_1to1,0.018073,0.018073
36,C3_broad_1to1,0.017557,0.017557
37,C3_broad_1to1,0.017298,0.017298
38,C3_broad_1to1,0.017065,0.017065
39,C3_broad_1to1,0.016524,0.016524
40,C3_broad_1to1,0.017414,0.017414
41,C3_broad_1to1,0.017128,0.017128
42,C3_broad_1to1,0.016747,0.016747
43,C3_broad_1to1,0.016642,0.016642
44,C3_broad_1to1,0.015467,0.015467
45,C3_broad_1to1,0.014972,0.014972
46,C3_broad_1to1,0.015007,0.015007
47,C3_broad_1to1,0.014591,0.014591
48,C3_broad_1to1,0.014950,0.014950
49,C3_broad_1to1,0.015568,0.015568
50,C3_broad_1to1,0.014487,0.014487
51,C3_broad_1to1,0.014924,0.014924
52,C3_broad_1to1,0.014968,0.014968
53,C3_broad_1to1,0.014948,0.014948
54,C3_broad_1to1,0.014181,0.014181
55,C3_broad_1to1,0.014105,0.014105
56,C3_broad_1to1,0.015717,0.015717
57,C3_broad_1to1,0.014302,0.014302
58,C3_broad_1to1,0.014291,0.014291
59,C3_broad_1to1,0.013203,0.013203
60,C3_broad_1to1,0.013854,0.013854
61,C3_anneal,0.013765,0.013765
62,C3_anneal,0.013139,0.013139
63,C3_anneal,0.013194,0.013194
64,C3_anneal,0.012895,0.012895
65,C3_anneal,0.013611,0.013611
66,C3_anneal,0.012969,0.012969
67,C3_anneal,0.013082,0.013082
68,C3_anneal,0.012512,0.012512
69,C3_anneal,0.012727,0.012727
70,C3_anneal,0.013106,0.013106
71,C3_anneal,0.013120,0.013120
72,C3_anneal,0.012546,0.012546
73,C3_anneal,0.012366,0.012366
74,C3_anneal,0.012183,0.012183
75,C3_anneal,0.011787,0.011787
76,C3_anneal,0.012191,0.012191
77,C3_anneal,0.011461,0.011461
78,C3_anneal,0.012280,0.012280
79,C3_anneal,0.012080,0.012080
80,C3_anneal,0.012320,0.012320
81,C3_anneal,0.011899,0.011899
82,C3_anneal,0.012431,0.012431
83,C3_anneal,0.011499,0.011499
84,C3_anneal,0.011609,0.011609
85,C3_anneal,0.011874,0.011874
86,C3_anneal,0.011413,0.011413
87,C3_anneal,0.012199,0.012199
88,C3_anneal,0.012383,0.012383
89,C3_anneal,0.011141,0.011141
90,C3_anneal,0.010565,0.010565
91,C3_anneal,0.010895,0.010895
92,C3_anneal,0.011706,0.011706
93,C3_anneal,0.010846,0.010846
94,C3_anneal,0.011205,0.011205
95,C3_anneal,0.011341,0.011341
96,C3_anneal,0.010628,0.010628
97,C3_anneal,0.011079,0.011079
98,C3_anneal,0.010467,0.010467
99,C3_anneal,0.011763,0.011763
100,C3_anneal,0.010837,0.010837
101,C3_anneal,0.010739,0.010739
102,C3_anneal,0.010690,0.010690
103,C3_anneal,0.010349,0.010349
104,C3_anneal,0.010863,0.010863
105,C3_anneal,0.010864,0.010864
106,C3_anneal,0.010705,0.010705
107,C3_anneal,0.010291,0.010291
108,C3_anneal,0.009712,0.009712
109,C3_anneal,0.009651,0.009651
110,C3_anneal,0.009585,0.009585
111,C3_anneal,0.009855,0.009855
112,C3_anneal,0.009677,0.009677
113,C3_anneal,0.009459,0.009459
114,C3_anneal,0.011457,0.011457
115,C3_anneal,0.009884,0.009884
116,C3_anneal,0.009605,0.009605
117,C3_anneal,0.009228,0.009228
118,C3_anneal,0.009484,0.009484
119,C3_anneal,0.009163,0.009163
120,C3_anneal,0.009514,0.009514
121,C3_anneal,0.008921,0.008921
122,C3_anneal,0.008776,0.008776
123,C3_anneal,0.008320,0.008320
124,C3_anneal,0.008697,0.008697
125,C3_anneal,0.008501,0.008501
126,C3_anneal,0.008377,0.008377
127,C3_anneal,0.008462,0.008462
128,C3_anneal,0.008633,0.008633
129,C3_anneal,0.008405,0.008405
130,C3_anneal,0.008742,0.008742
131,C3_anneal,0.008176,0.008176
132,C3_anneal,0.008558,0.008558
133,C3_anneal,0.008700,0.008700
134,C3_anneal,0.008067,0.008067
135,C3_anneal,0.008332,0.008332
136,C3_anneal,0.008037,0.008037
137,C3_anneal,0.007813,0.007813
138,C3_anneal,0.007916,0.007916
139,C3_anneal,0.007953,0.007953
140,C3_anneal,0.007985,0.007985
141,C3_reliable_0p3,0.007851,0.007851
142,C3_reliable_0p3,0.008108,0.008108
143,C3_reliable_0p3,0.008155,0.008155
144,C3_reliable_0p3,0.007768,0.007768
145,C3_reliable_0p3,0.007992,0.007992
146,C3_reliable_0p3,0.008217,0.008217
147,C3_reliable_0p3,0.008103,0.008103
148,C3_reliable_0p3,0.007739,0.007739
149,C3_reliable_0p3,0.007812,0.007812
150,C3_reliable_0p3,0.007980,0.007980
