epoch,S,Fw,E,MAE
30,0.8487,0.7834,0.9149,0.0613
35,0.8446,0.7788,0.9080,0.0662
40,0.8409,0.7715,0.9086,0.0642
45,0.8449,0.7801,0.9080,0.0630
50,0.8415,0.7769,0.9119,0.0632
55,0.8380,0.7749,0.9049,0.0665
60,0.8455,0.7849,0.9127,0.0621
65,0.8327,0.7675,0.9063,0.0645
70,0.8355,0.7758,0.9078,0.0650
75,0.8382,0.7736,0.9050,0.0641
80,0.8408,0.7813,0.9095,0.0626
85,0.8425,0.7869,0.9100,0.0623
90,0.8416,0.7850,0.9085,0.0611
95,0.8404,0.7840,0.9074,0.0630
100,0.8366,0.7776,0.9021,0.0645
105,0.8372,0.7819,0.9053,0.0641
110,0.8370,0.7800,0.9056,0.0644
115,0.8415,0.7856,0.9047,0.0642
120,0.8400,0.7836,0.9060,0.0635
125,0.8398,0.7846,0.9062,0.0631
130,0.8379,0.7839,0.9054,0.0633
135,0.8372,0.7836,0.9058,0.0637
140,0.8383,0.7846,0.9065,0.0632
145,0.8383,0.7855,0.9062,0.0630
150,0.8377,0.7844,0.9062,0.0631
