epoch,S,Fw,E,MAE
30,0.8578,0.7427,0.9321,0.0278
35,0.8584,0.7425,0.9321,0.0284
40,0.8582,0.7418,0.9320,0.0282
45,0.8614,0.7529,0.9332,0.0270
50,0.8606,0.7548,0.9330,0.0266
55,0.8593,0.7513,0.9302,0.0278
60,0.8599,0.7549,0.9302,0.0270
65,0.8592,0.7532,0.9307,0.0268
70,0.8582,0.7555,0.9297,0.0270
75,0.8594,0.7566,0.9309,0.0262
80,0.8602,0.7593,0.9297,0.0268
85,0.8613,0.7635,0.9316,0.0263
90,0.8601,0.7631,0.9321,0.0258
95,0.8614,0.7670,0.9317,0.0258
100,0.8610,0.7643,0.9296,0.0264
105,0.8609,0.7673,0.9325,0.0256
110,0.8600,0.7649,0.9329,0.0261
115,0.8601,0.7627,0.9303,0.0267
120,0.8604,0.7661,0.9300,0.0260
125,0.8604,0.7679,0.9306,0.0257
130,0.8600,0.7687,0.9305,0.0256
135,0.8602,0.7699,0.9312,0.0255
140,0.8600,0.7696,0.9308,0.0256
145,0.8603,0.7706,0.9310,0.0254
150,0.8600,0.7699,0.9308,0.0255
