epoch,stage,total,bce
1,C3_broad_1to1,0.429596,0.429596
2,C3_broad_1to1,0.257213,0.257213
3,C3_broad_1to1,0.170040,0.170040
4,C3_broad_1to1,0.123420,0.123420
5,C3_broad_1to1,0.095314,0.095314
6,C3_broad_1to1,0.075579,0.075579
7,C3_broad_1to1,0.060799,0.060799
8,C3_broad_1to1,0.051311,0.051311
9,C3_broad_1to1,0.043684,0.043684
10,C3_broad_1to1,0.039634,0.039634
11,C3_broad_1to1,0.037278,0.037278
12,C3_broad_1to1,0.033695,0.033695
13,C3_broad_1to1,0.031730,0.031730
14,C3_broad_1to1,0.030598,0.030598
15,C3_broad_1to1,0.027487,0.027487
16,C3_broad_1to1,0.025684,0.025684
17,C3_broad_1to1,0.027368,0.027368
18,C3_broad_1to1,0.027990,0.027990
19,C3_broad_1to1,0.023313,0.023313
20,C3_broad_1to1,0.023939,0.023939
21,C3_broad_1to1,0.022750,0.022750
22,C3_broad_1to1,0.021016,0.021016
23,C3_broad_1to1,0.021043,0.021043
24,C3_broad_1to1,0.022736,0.022736
25,C3_broad_1to1,0.020679,0.020679
26,C3_broad_1to1,0.025606,0.025606
27,C3_broad_1to1,0.020383,0.020383
28,C3_broad_1to1,0.019688,0.019688
29,C3_broad_1to1,0.018640,0.018640
30,C3_broad_1to1,0.018825,0.018825
31,C3_broad_1to1,0.018409,0.018409
32,C3_broad_1to1,0.017881,0.017881
33,C3_broad_1to1,0.018137,0.018137
34,C3_broad_1to1,0.017618,0.017618
35,C3_broad_1to1,0.016583,0.016583
36,C3_broad_1to1,0.016739,0.016739
37,C3_broad_1to1,0.017629,0.017629
38,C3_broad_1to1,0.020258,0.020258
39,C3_broad_1to1,0.017631,0.017631
40,C3_broad_1to1,0.016577,0.016577
41,C3_broad_1to1,0.016291,0.016291
42,C3_broad_1to1,0.015739,0.015739
43,C3_broad_1to1,0.015838,0.015838
44,C3_broad_1to1,0.015750,0.015750
45,C3_broad_1to1,0.014535,0.014535
46,C3_broad_1to1,0.014751,0.014751
47,C3_broad_1to1,0.015412,0.015412
48,C3_broad_1to1,0.015334,0.015334
49,C3_broad_1to1,0.014906,0.014906
50,C3_broad_1to1,0.014794,0.014794
51,C3_broad_1to1,0.014785,0.014785
52,C3_broad_1to1,0.014361,0.014361
53,C3_broad_1to1,0.014476,0.014476
54,C3_broad_1to1,0.015347,0.015347
55,C3_broad_1to1,0.014996,0.014996
56,C3_broad_1to1,0.013641,0.013641
57,C3_broad_1to1,0.014062,0.014062
58,C3_broad_1to1,0.014189,0.014189
59,C3_broad_1to1,0.013384,0.013384
60,C3_broad_1to1,0.014939,0.014939
61,C3_anneal,0.014986,0.014986
62,C3_anneal,0.013953,0.013953
63,C3_anneal,0.013471,0.013471
64,C3_anneal,0.012910,0.012910
65,C3_anneal,0.013412,0.013412
66,C3_anneal,0.012439,0.012439
67,C3_anneal,0.013126,0.013126
68,C3_anneal,0.012832,0.012832
69,C3_anneal,0.012468,0.012468
70,C3_anneal,0.013231,0.013231
71,C3_anneal,0.012113,0.012113
72,C3_anneal,0.012605,0.012605
73,C3_anneal,0.013091,0.013091
74,C3_anneal,0.012648,0.012648
75,C3_anneal,0.012584,0.012584
76,C3_anneal,0.012092,0.012092
77,C3_anneal,0.012508,0.012508
78,C3_anneal,0.011464,0.011464
79,C3_anneal,0.012185,0.012185
80,C3_anneal,0.012207,0.012207
81,C3_anneal,0.012316,0.012316
82,C3_anneal,0.011962,0.011962
83,C3_anneal,0.011342,0.011342
84,C3_anneal,0.011826,0.011826
85,C3_anneal,0.011224,0.011224
86,C3_anneal,0.011153,0.011153
