epoch,S,Fw,E,MAE
30,0.7657,0.6297,0.8604,0.0966
35,0.7618,0.6241,0.8654,0.1031
40,0.8175,0.7178,0.8909,0.0784
45,0.8342,0.7572,0.8927,0.0697
50,0.8348,0.7729,0.8929,0.0735
55,0.8365,0.7778,0.8924,0.0693
60,0.8353,0.7869,0.8986,0.0675
65,0.8324,0.7838,0.8975,0.0651
70,0.8388,0.7967,0.9010,0.0635
75,0.8349,0.7930,0.8965,0.0657
80,0.8341,0.7917,0.8968,0.0657
85,0.8407,0.8009,0.9056,0.0606
90,0.8421,0.8049,0.9053,0.0602
95,0.8371,0.7959,0.8986,0.0627
100,0.8407,0.8049,0.9044,0.0610
105,0.8324,0.7930,0.8936,0.0675
110,0.8375,0.8005,0.9017,0.0629
115,0.8323,0.7947,0.8947,0.0655
120,0.8369,0.8019,0.9006,0.0640
125,0.8364,0.8011,0.8994,0.0645
130,0.8367,0.8019,0.9006,0.0646
135,0.8374,0.8025,0.9012,0.0640
140,0.8366,0.8017,0.9004,0.0644
145,0.8366,0.8014,0.9003,0.0644
150,0.8370,0.8021,0.9012,0.0644
