epoch,S,Fw,E,MAE
30,0.6970,0.4669,0.8763,0.0751
35,0.6845,0.4495,0.8773,0.0821
40,0.8046,0.6212,0.9228,0.0411
45,0.8517,0.7212,0.9367,0.0294
50,0.8623,0.7568,0.9378,0.0292
55,0.8656,0.7768,0.9369,0.0282
60,0.8702,0.7925,0.9413,0.0248
65,0.8726,0.8017,0.9413,0.0239
70,0.8721,0.8061,0.9391,0.0243
75,0.8746,0.8081,0.9433,0.0235
80,0.8699,0.8004,0.9366,0.0241
85,0.8759,0.8133,0.9419,0.0225
90,0.8750,0.8124,0.9406,0.0229
95,0.8724,0.8096,0.9379,0.0239
100,0.8749,0.8149,0.9410,0.0229
105,0.8661,0.8013,0.9308,0.0262
110,0.8718,0.8088,0.9376,0.0244
115,0.8722,0.8108,0.9378,0.0239
120,0.8735,0.8136,0.9408,0.0235
125,0.8738,0.8139,0.9404,0.0235
130,0.8735,0.8131,0.9396,0.0237
135,0.8728,0.8128,0.9390,0.0239
140,0.8728,0.8124,0.9392,0.0239
145,0.8729,0.8124,0.9393,0.0241
150,0.8730,0.8122,0.9395,0.0240
