epoch,stage,total,bce
1,C3_broad_1to1,0.928082,0.496685
2,C3_broad_1to1,0.594371,0.325368
3,C3_broad_1to1,0.367131,0.235064
4,C3_broad_1to1,0.258791,0.181180
5,C3_broad_1to1,0.204526,0.144811
6,C3_broad_1to1,0.179192,0.125000
7,C3_broad_1to1,0.154918,0.105913
8,C3_broad_1to1,0.135979,0.092320
9,C3_broad_1to1,0.128351,0.084913
10,C3_broad_1to1,0.122914,0.080429
11,C3_broad_1to1,0.118328,0.074929
12,C3_broad_1to1,0.110711,0.071242
13,C3_broad_1to1,0.107835,0.068580
14,C3_broad_1to1,0.106042,0.067308
15,C3_broad_1to1,0.100670,0.063923
16,C3_broad_1to1,0.098887,0.057995
17,C3_broad_1to1,0.099959,0.059304
18,C3_broad_1to1,0.096651,0.057984
19,C3_broad_1to1,0.091795,0.055376
20,C3_broad_1to1,0.089350,0.053386
21,C3_broad_1to1,0.086491,0.049987
22,C3_broad_1to1,0.087330,0.050043
23,C3_broad_1to1,0.088256,0.050790
24,C3_broad_1to1,0.091178,0.051205
25,C3_broad_1to1,0.086473,0.048151
26,C3_broad_1to1,0.084750,0.048634
27,C3_broad_1to1,0.084580,0.048350
28,C3_broad_1to1,0.082328,0.045104
29,C3_broad_1to1,0.083055,0.044787
30,C3_broad_1to1,0.086867,0.045036
31,C3_broad_1to1,0.080677,0.042781
32,C3_broad_1to1,0.080370,0.042854
33,C3_broad_1to1,0.080672,0.043311
34,C3_broad_1to1,0.082066,0.041034
35,C3_broad_1to1,0.077801,0.039311
36,C3_broad_1to1,0.078389,0.039873
37,C3_broad_1to1,0.079435,0.040834
38,C3_broad_1to1,0.079973,0.039705
39,C3_broad_1to1,0.078064,0.036652
40,C3_broad_1to1,0.079084,0.039133
41,C3_broad_1to1,0.079099,0.038353
42,C3_broad_1to1,0.079446,0.037637
43,C3_broad_1to1,0.078476,0.036743
44,C3_broad_1to1,0.082118,0.037419
45,C3_broad_1to1,0.081357,0.035638
46,C3_broad_1to1,0.084583,0.037390
47,C3_broad_1to1,0.076756,0.033645
48,C3_broad_1to1,0.078178,0.035570
49,C3_broad_1to1,0.078469,0.034436
50,C3_broad_1to1,0.081540,0.035466
51,C3_broad_1to1,0.084774,0.035910
52,C3_broad_1to1,0.085391,0.035211
53,C3_broad_1to1,0.080335,0.034336
54,C3_broad_1to1,0.082344,0.034029
55,C3_broad_1to1,0.084267,0.035105
56,C3_broad_1to1,0.084003,0.035501
57,C3_broad_1to1,0.085103,0.035083
58,C3_broad_1to1,0.086084,0.035245
59,C3_broad_1to1,0.083426,0.035322
60,C3_broad_1to1,0.085631,0.034816
61,C3_anneal,0.084541,0.034123
62,C3_anneal,0.086169,0.036893
63,C3_anneal,0.086540,0.036019
64,C3_anneal,0.086469,0.034889
65,C3_anneal,0.086933,0.035305
66,C3_anneal,0.086390,0.035140
67,C3_anneal,0.087963,0.035542
68,C3_anneal,0.093706,0.039199
69,C3_anneal,0.088670,0.035727
70,C3_anneal,0.086387,0.036495
71,C3_anneal,0.087258,0.035592
72,C3_anneal,0.088921,0.038246
73,C3_anneal,0.088959,0.036432
74,C3_anneal,0.087227,0.036733
75,C3_anneal,0.088914,0.036985
76,C3_anneal,0.087664,0.035685
77,C3_anneal,0.091699,0.038876
78,C3_anneal,0.089470,0.035552
79,C3_anneal,0.088560,0.036912
80,C3_anneal,0.090820,0.037417
81,C3_anneal,0.089129,0.038171
82,C3_anneal,0.088670,0.040539
83,C3_anneal,0.085067,0.036998
84,C3_anneal,0.089322,0.038039
85,C3_anneal,0.087791,0.038614
86,C3_anneal,0.087646,0.039220
87,C3_anneal,0.087895,0.039008
88,C3_anneal,0.088474,0.042768
89,C3_anneal,0.087718,0.041218
90,C3_anneal,0.086451,0.039577
91,C3_anneal,0.086038,0.038503
92,C3_anneal,0.089888,0.040825
93,C3_anneal,0.086141,0.040274
94,C3_anneal,0.085615,0.036786
95,C3_anneal,0.088928,0.041022
96,C3_anneal,0.085989,0.041348
97,C3_anneal,0.088041,0.040915
98,C3_anneal,0.082907,0.037851
99,C3_anneal,0.083488,0.039394
100,C3_anneal,0.083114,0.036698
101,C3_anneal,0.080163,0.036459
102,C3_anneal,0.080078,0.036072
103,C3_anneal,0.080517,0.036917
104,C3_anneal,0.079371,0.036520
105,C3_anneal,0.079148,0.038538
106,C3_anneal,0.076695,0.034132
107,C3_anneal,0.076879,0.034392
108,C3_anneal,0.073165,0.035143
109,C3_anneal,0.073787,0.032461
