epoch,S,Fw,E,MAE
30,0.8459,0.7840,0.9081,0.0674
35,0.8496,0.7827,0.9058,0.0661
40,0.8512,0.7919,0.9081,0.0650
45,0.8482,0.7900,0.9061,0.0646
50,0.8441,0.7838,0.9045,0.0659
55,0.8446,0.7912,0.9064,0.0644
60,0.8331,0.7761,0.9040,0.0667
65,0.8452,0.7909,0.9097,0.0652
70,0.8398,0.7820,0.9024,0.0663
75,0.8448,0.7899,0.9079,0.0654
80,0.8355,0.7826,0.9064,0.0657
85,0.8479,0.7957,0.9087,0.0632
90,0.8433,0.7915,0.9097,0.0635
95,0.8362,0.7797,0.9031,0.0670
100,0.8431,0.7908,0.9042,0.0649
105,0.8440,0.7878,0.9038,0.0640
110,0.8451,0.7907,0.9036,0.0631
115,0.8441,0.7911,0.9034,0.0638
120,0.8461,0.7952,0.9063,0.0628
125,0.8432,0.7922,0.9050,0.0634
130,0.8437,0.7941,0.9052,0.0631
135,0.8448,0.7963,0.9061,0.0628
140,0.8426,0.7933,0.9033,0.0637
145,0.8426,0.7946,0.9051,0.0632
150,0.8443,0.7965,0.9062,0.0630
