epoch,S,Fw,E,MAE
30,0.8730,0.7786,0.9397,0.0260
35,0.8735,0.7762,0.9391,0.0261
40,0.8719,0.7783,0.9368,0.0267
45,0.8744,0.7846,0.9389,0.0252
50,0.8716,0.7832,0.9369,0.0249
55,0.8746,0.7895,0.9419,0.0245
60,0.8653,0.7804,0.9342,0.0271
65,0.8737,0.7867,0.9381,0.0259
70,0.8741,0.7888,0.9377,0.0252
75,0.8752,0.7928,0.9409,0.0249
80,0.8727,0.7943,0.9393,0.0245
85,0.8755,0.7960,0.9401,0.0245
90,0.8734,0.7960,0.9393,0.0241
95,0.8684,0.7837,0.9346,0.0261
100,0.8743,0.7956,0.9385,0.0253
105,0.8769,0.7962,0.9423,0.0244
110,0.8768,0.7957,0.9402,0.0245
115,0.8780,0.8009,0.9424,0.0234
120,0.8766,0.7995,0.9420,0.0239
125,0.8777,0.8025,0.9423,0.0236
130,0.8772,0.8024,0.9419,0.0236
135,0.8763,0.8021,0.9410,0.0238
140,0.8766,0.8029,0.9412,0.0237
145,0.8761,0.8023,0.9409,0.0237
150,0.8767,0.8029,0.9411,0.0236
