epoch,stage,total,bce
1,C3_broad_1to1,0.424287,0.424287
2,C3_broad_1to1,0.258566,0.258566
3,C3_broad_1to1,0.175288,0.175288
4,C3_broad_1to1,0.124251,0.124251
5,C3_broad_1to1,0.092622,0.092622
6,C3_broad_1to1,0.074550,0.074550
7,C3_broad_1to1,0.059963,0.059963
8,C3_broad_1to1,0.050270,0.050270
9,C3_broad_1to1,0.043351,0.043351
10,C3_broad_1to1,0.037507,0.037507
11,C3_broad_1to1,0.034418,0.034418
12,C3_broad_1to1,0.029821,0.029821
13,C3_broad_1to1,0.030785,0.030785
14,C3_broad_1to1,0.026992,0.026992
15,C3_broad_1to1,0.023834,0.023834
16,C3_broad_1to1,0.022960,0.022960
17,C3_broad_1to1,0.022520,0.022520
18,C3_broad_1to1,0.021229,0.021229
19,C3_broad_1to1,0.019182,0.019182
20,C3_broad_1to1,0.023266,0.023266
21,C3_broad_1to1,0.019924,0.019924
22,C3_broad_1to1,0.019248,0.019248
23,C3_broad_1to1,0.018623,0.018623
24,C3_broad_1to1,0.018849,0.018849
25,C3_broad_1to1,0.017364,0.017364
26,C3_broad_1to1,0.018710,0.018710
27,C3_broad_1to1,0.017532,0.017532
28,C3_broad_1to1,0.016091,0.016091
29,C3_broad_1to1,0.016449,0.016449
30,C3_broad_1to1,0.016214,0.016214
31,C3_broad_1to1,0.016046,0.016046
32,C3_broad_1to1,0.016456,0.016456
33,C3_broad_1to1,0.015522,0.015522
34,C3_broad_1to1,0.014259,0.014259
35,C3_broad_1to1,0.015464,0.015464
36,C3_broad_1to1,0.016457,0.016457
37,C3_broad_1to1,0.014768,0.014768
38,C3_broad_1to1,0.014849,0.014849
39,C3_broad_1to1,0.014361,0.014361
40,C3_broad_1to1,0.013739,0.013739
41,C3_broad_1to1,0.013955,0.013955
42,C3_broad_1to1,0.012816,0.012816
43,C3_broad_1to1,0.012955,0.012955
44,C3_broad_1to1,0.013079,0.013079
45,C3_broad_1to1,0.012481,0.012481
46,C3_broad_1to1,0.012907,0.012907
47,C3_broad_1to1,0.012550,0.012550
48,C3_broad_1to1,0.013784,0.013784
49,C3_broad_1to1,0.012673,0.012673
50,C3_broad_1to1,0.012526,0.012526
51,C3_broad_1to1,0.011908,0.011908
52,C3_broad_1to1,0.012189,0.012189
53,C3_broad_1to1,0.011984,0.011984
54,C3_broad_1to1,0.011705,0.011705
55,C3_broad_1to1,0.011942,0.011942
56,C3_broad_1to1,0.010872,0.010872
57,C3_broad_1to1,0.011543,0.011543
58,C3_broad_1to1,0.012132,0.012132
59,C3_broad_1to1,0.011779,0.011779
60,C3_broad_1to1,0.011542,0.011542
61,C3_anneal,0.012458,0.012458
62,C3_anneal,0.011824,0.011824
63,C3_anneal,0.010908,0.010908
64,C3_anneal,0.012024,0.012024
65,C3_anneal,0.011128,0.011128
66,C3_anneal,0.010729,0.010729
67,C3_anneal,0.010524,0.010524
