epoch,S,Fw,E,MAE
30,0.8480,0.7808,0.9135,0.0619
35,0.8469,0.7811,0.9129,0.0620
40,0.8377,0.7655,0.9050,0.0636
45,0.8476,0.7837,0.9129,0.0594
50,0.8333,0.7627,0.9062,0.0653
55,0.8353,0.7722,0.9058,0.0635
60,0.8411,0.7810,0.9068,0.0619
65,0.8441,0.7851,0.9121,0.0603
70,0.8403,0.7792,0.9061,0.0633
75,0.8429,0.7837,0.9134,0.0609
80,0.8363,0.7790,0.9114,0.0635
85,0.8455,0.7875,0.9119,0.0608
90,0.8433,0.7872,0.9130,0.0604
95,0.8442,0.7887,0.9085,0.0607
100,0.8338,0.7732,0.9031,0.0626
105,0.8362,0.7782,0.9033,0.0621
110,0.8422,0.7877,0.9106,0.0610
115,0.8388,0.7847,0.9079,0.0625
120,0.8328,0.7757,0.9032,0.0636
125,0.8375,0.7813,0.9067,0.0623
130,0.8380,0.7826,0.9074,0.0618
135,0.8392,0.7856,0.9078,0.0620
140,0.8382,0.7840,0.9087,0.0620
145,0.8371,0.7820,0.9077,0.0621
150,0.8378,0.7834,0.9082,0.0622
