epoch,S,Fw,E,MAE
30,0.8572,0.7420,0.9318,0.0280
35,0.8568,0.7421,0.9326,0.0282
40,0.8566,0.7435,0.9314,0.0271
45,0.8580,0.7470,0.9305,0.0275
50,0.8578,0.7459,0.9322,0.0271
55,0.8523,0.7480,0.9297,0.0272
60,0.8575,0.7557,0.9311,0.0263
65,0.8604,0.7571,0.9341,0.0259
70,0.8586,0.7524,0.9292,0.0279
75,0.8599,0.7573,0.9323,0.0266
80,0.8615,0.7654,0.9342,0.0260
85,0.8573,0.7589,0.9323,0.0265
90,0.8568,0.7602,0.9304,0.0265
95,0.8623,0.7659,0.9350,0.0254
100,0.8613,0.7672,0.9341,0.0252
105,0.8607,0.7661,0.9335,0.0256
110,0.8627,0.7700,0.9350,0.0252
115,0.8611,0.7683,0.9342,0.0253
120,0.8600,0.7682,0.9336,0.0253
125,0.8624,0.7714,0.9352,0.0250
130,0.8627,0.7728,0.9358,0.0249
135,0.8620,0.7724,0.9347,0.0251
140,0.8621,0.7722,0.9350,0.0250
145,0.8616,0.7723,0.9357,0.0249
150,0.8617,0.7718,0.9352,0.0251
