epoch,stage,total,bce
1,C3_broad_1to1,0.430371,0.430371
2,C3_broad_1to1,0.259308,0.259308
3,C3_broad_1to1,0.174693,0.174693
4,C3_broad_1to1,0.124780,0.124780
5,C3_broad_1to1,0.091441,0.091441
6,C3_broad_1to1,0.072447,0.072447
7,C3_broad_1to1,0.061457,0.061457
8,C3_broad_1to1,0.051120,0.051120
9,C3_broad_1to1,0.047407,0.047407
10,C3_broad_1to1,0.042140,0.042140
11,C3_broad_1to1,0.038009,0.038009
12,C3_broad_1to1,0.033919,0.033919
13,C3_broad_1to1,0.034798,0.034798
14,C3_broad_1to1,0.031838,0.031838
15,C3_broad_1to1,0.028400,0.028400
16,C3_broad_1to1,0.027313,0.027313
17,C3_broad_1to1,0.025070,0.025070
18,C3_broad_1to1,0.025025,0.025025
19,C3_broad_1to1,0.023907,0.023907
20,C3_broad_1to1,0.022778,0.022778
21,C3_broad_1to1,0.024055,0.024055
22,C3_broad_1to1,0.022409,0.022409
23,C3_broad_1to1,0.021746,0.021746
24,C3_broad_1to1,0.021234,0.021234
25,C3_broad_1to1,0.019967,0.019967
26,C3_broad_1to1,0.021417,0.021417
27,C3_broad_1to1,0.020104,0.020104
28,C3_broad_1to1,0.019911,0.019911
29,C3_broad_1to1,0.019024,0.019024
30,C3_broad_1to1,0.019141,0.019141
31,C3_broad_1to1,0.018588,0.018588
32,C3_broad_1to1,0.018517,0.018517
33,C3_broad_1to1,0.019247,0.019247
34,C3_broad_1to1,0.017646,0.017646
35,C3_broad_1to1,0.018189,0.018189
36,C3_broad_1to1,0.019902,0.019902
37,C3_broad_1to1,0.017460,0.017460
38,C3_broad_1to1,0.016945,0.016945
39,C3_broad_1to1,0.016421,0.016421
40,C3_broad_1to1,0.016076,0.016076
41,C3_broad_1to1,0.015943,0.015943
42,C3_broad_1to1,0.015185,0.015185
43,C3_broad_1to1,0.017467,0.017467
44,C3_broad_1to1,0.016314,0.016314
45,C3_broad_1to1,0.015289,0.015289
46,C3_broad_1to1,0.014952,0.014952
47,C3_broad_1to1,0.014689,0.014689
48,C3_broad_1to1,0.014879,0.014879
49,C3_broad_1to1,0.015619,0.015619
50,C3_broad_1to1,0.015321,0.015321
51,C3_broad_1to1,0.014485,0.014485
