epoch,stage,stage_age,bce,kd,kd_coef,loss_drop,ema_consistency,saturation_count,switched,switch_reason
1,C3_expand_1_50,1,0.430351,0.000000,0.000000,,0.234166,0,0,
2,C3_expand_1_50,2,0.255842,0.000000,0.000000,,0.175777,0,0,
3,C3_expand_1_50,3,0.172027,0.000000,0.000000,,0.169668,0,0,
4,C3_expand_1_50,4,0.123268,0.000000,0.000000,,0.195739,0,0,
5,C3_expand_1_50,5,0.096914,0.000000,0.000000,,0.242546,0,0,
6,C3_expand_1_50,6,0.077037,0.000000,0.000000,,0.297202,0,0,
7,C3_expand_1_50,7,0.063996,0.000000,0.000000,,0.360191,0,0,
8,C3_expand_1_50,8,0.055433,0.000000,0.000000,,0.417705,0,0,
9,C3_expand_1_50,9,0.049470,0.000000,0.000000,,0.486648,0,0,
10,C3_expand_1_50,10,0.043878,0.000000,0.000000,0.731256,0.537509,0,0,
11,C3_expand_1_50,11,0.041764,0.000000,0.000000,0.648952,0.572403,0,0,
12,C3_expand_1_50,12,0.039644,0.000000,0.000000,0.568322,0.615293,0,0,
13,C3_expand_1_50,13,0.037230,0.000000,0.000000,0.491211,0.653813,0,0,
14,C3_expand_1_50,14,0.034503,0.000000,0.000000,0.425351,0.676269,0,0,
15,C3_expand_1_50,15,0.034807,0.000000,0.000000,0.351486,0.694179,0,0,
16,C3_expand_1_50,16,0.035171,0.000000,0.000000,0.287517,0.721170,0,0,
17,C3_expand_1_50,17,0.034261,0.000000,0.000000,0.235528,0.728057,0,0,
18,C3_expand_1_50,18,0.034123,0.000000,0.000000,0.184543,0.743667,0,0,
19,C3_expand_1_50,19,0.032055,0.000000,0.000000,0.135020,0.768427,0,0,
20,C3_expand_1_50,20,0.029261,0.000000,0.000000,0.122785,0.773461,0,0,
21,C3_expand_1_50,21,0.029298,0.000000,0.000000,0.123282,0.779317,0,0,
22,C3_expand_1_50,22,0.029482,0.000000,0.000000,0.123620,0.795311,0,0,
23,C3_expand_1_50,23,0.028342,0.000000,0.000000,0.141307,0.787121,0,0,
24,C3_expand_1_50,24,0.029307,0.000000,0.000000,0.145093,0.803896,0,0,
25,C3_expand_1_50,25,0.027598,0.000000,0.000000,0.126423,0.805325,0,0,
26,C3_expand_1_50,26,0.028286,0.000000,0.000000,0.100522,0.801185,0,0,
27,C3_expand_1_50,27,0.028445,0.000000,0.000000,0.079369,0.804982,0,0,
28,C3_expand_1_50,28,0.027096,0.000000,0.000000,0.051914,0.811769,0,0,
29,C3_expand_1_50,29,0.027212,0.000000,0.000000,0.048417,0.807509,0,0,
30,C3_expand_1_50,30,0.025936,0.000000,0.000000,0.048967,0.821623,0,0,
31,C3_expand_1_50,31,0.026080,0.000000,0.000000,0.057659,0.817298,0,0,
32,C3_expand_1_50,32,0.028081,0.000000,0.000000,0.053344,0.795830,0,0,
33,C3_expand_1_50,33,0.027541,0.000000,0.000000,0.041795,0.827307,0,0,
34,C3_expand_1_50,34,0.023513,0.000000,0.000000,0.053996,0.833001,0,0,
35,C3_expand_1_50,35,0.024722,0.000000,0.000000,0.051382,0.816936,0,0,
36,C3_expand_1_50,36,0.023789,0.000000,0.000000,0.052853,0.838691,0,0,
37,C3_expand_1_50,37,0.022586,0.000000,0.000000,0.091168,0.839276,0,0,
38,C3_expand_1_50,38,0.024660,0.000000,0.000000,0.115533,0.837430,0,0,
39,C3_expand_1_50,39,0.023944,0.000000,0.000000,0.087301,0.835601,0,0,
40,C3_expand_1_50,40,0.024610,0.000000,0.000000,0.079641,0.836554,0,0,
41,C3_expand_1_50,41,0.021347,0.000000,0.000000,0.082259,0.838638,0,0,
42,C3_expand_1_50,42,0.022653,0.000000,0.000000,0.040423,0.839133,0,0,
43,C3_expand_1_50,43,0.021389,0.000000,0.000000,0.044671,0.843681,0,0,
44,C3_expand_1_50,44,0.022118,0.000000,0.000000,0.063368,0.847438,0,0,
45,C3_expand_1_50,45,0.022659,0.000000,0.000000,0.078792,0.842502,0,0,
46,C3_expand_1_50,46,0.020967,0.000000,0.000000,0.062828,0.852679,0,0,
47,C3_expand_1_50,47,0.020673,0.000000,0.000000,0.080266,0.849714,0,0,
