epoch,S,Fw,E,MAE
30,0.8474,0.7644,0.9099,0.0664
35,0.8503,0.7777,0.9170,0.0618
40,0.8446,0.7708,0.9092,0.0650
45,0.8457,0.7742,0.9087,0.0646
50,0.8528,0.7821,0.9141,0.0626
55,0.8487,0.7813,0.9147,0.0626
60,0.8472,0.7804,0.9111,0.0633
65,0.8475,0.7809,0.9098,0.0638
70,0.8443,0.7793,0.9046,0.0642
75,0.8478,0.7854,0.9122,0.0625
80,0.8521,0.7904,0.9125,0.0605
85,0.8486,0.7880,0.9117,0.0615
90,0.8489,0.7912,0.9137,0.0606
95,0.8391,0.7753,0.9067,0.0660
100,0.8485,0.7877,0.9157,0.0612
105,0.8474,0.7895,0.9129,0.0607
110,0.8477,0.7918,0.9122,0.0603
115,0.8483,0.7930,0.9158,0.0601
120,0.8475,0.7941,0.9156,0.0598
125,0.8481,0.7948,0.9155,0.0599
130,0.8470,0.7937,0.9137,0.0603
135,0.8469,0.7941,0.9152,0.0601
140,0.8465,0.7941,0.9145,0.0606
145,0.8463,0.7942,0.9139,0.0604
150,0.8466,0.7944,0.9140,0.0604
