epoch,S,Fw,E,MAE
30,0.8543,0.7248,0.9288,0.0295
35,0.8574,0.7333,0.9320,0.0287
40,0.8592,0.7358,0.9339,0.0283
45,0.8598,0.7416,0.9342,0.0275
50,0.8608,0.7378,0.9345,0.0285
55,0.8619,0.7454,0.9344,0.0274
60,0.8647,0.7549,0.9370,0.0264
65,0.8623,0.7509,0.9349,0.0266
70,0.8575,0.7480,0.9299,0.0280
75,0.8634,0.7562,0.9352,0.0265
80,0.8618,0.7521,0.9324,0.0270
85,0.8620,0.7539,0.9337,0.0265
90,0.8616,0.7605,0.9370,0.0259
95,0.8584,0.7545,0.9317,0.0267
100,0.8616,0.7571,0.9342,0.0263
105,0.8653,0.7650,0.9368,0.0253
110,0.8643,0.7643,0.9353,0.0255
115,0.8630,0.7649,0.9354,0.0255
120,0.8650,0.7699,0.9370,0.0251
125,0.8653,0.7684,0.9358,0.0250
130,0.8658,0.7686,0.9365,0.0249
135,0.8650,0.7686,0.9358,0.0250
140,0.8654,0.7700,0.9359,0.0249
145,0.8651,0.7700,0.9361,0.0249
150,0.8654,0.7696,0.9360,0.0249
