epoch,stage,total,bce
1,C3_broad_1to1,0.437193,0.437193
2,C3_broad_1to1,0.269701,0.269701
3,C3_broad_1to1,0.186396,0.186396
4,C3_broad_1to1,0.137015,0.137015
5,C3_broad_1to1,0.106860,0.106860
6,C3_broad_1to1,0.092399,0.092399
7,C3_broad_1to1,0.078363,0.078363
8,C3_broad_1to1,0.070114,0.070114
9,C3_broad_1to1,0.062838,0.062838
10,C3_broad_1to1,0.057113,0.057113
11,C3_broad_1to1,0.052644,0.052644
12,C3_broad_1to1,0.051307,0.051307
13,C3_broad_1to1,0.049941,0.049941
14,C3_broad_1to1,0.044017,0.044017
15,C3_broad_1to1,0.041905,0.041905
16,C3_broad_1to1,0.040530,0.040530
17,C3_broad_1to1,0.038190,0.038190
18,C3_broad_1to1,0.035608,0.035608
19,C3_broad_1to1,0.037082,0.037082
20,C3_broad_1to1,0.035698,0.035698
21,C3_broad_1to1,0.034175,0.034175
22,C3_broad_1to1,0.035147,0.035147
23,C3_broad_1to1,0.034056,0.034056
24,C3_broad_1to1,0.033280,0.033280
25,C3_broad_1to1,0.031527,0.031527
26,C3_broad_1to1,0.032130,0.032130
27,C3_broad_1to1,0.030554,0.030554
28,C3_broad_1to1,0.030797,0.030797
29,C3_broad_1to1,0.029243,0.029243
30,C3_broad_1to1,0.029496,0.029496
31,C3_broad_1to1,0.029361,0.029361
32,C3_broad_1to1,0.029080,0.029080
33,C3_broad_1to1,0.027458,0.027458
34,C3_broad_1to1,0.026350,0.026350
35,C3_broad_1to1,0.027632,0.027632
36,C3_broad_1to1,0.026770,0.026770
37,C3_broad_1to1,0.026311,0.026311
38,C3_broad_1to1,0.026476,0.026476
39,C3_broad_1to1,0.026118,0.026118
40,C3_broad_1to1,0.025350,0.025350
41,C3_broad_1to1,0.025053,0.025053
42,C3_broad_1to1,0.023933,0.023933
43,C3_broad_1to1,0.024274,0.024274
44,C3_broad_1to1,0.024201,0.024201
45,C3_broad_1to1,0.024557,0.024557
46,C3_broad_1to1,0.024116,0.024116
47,C3_broad_1to1,0.023334,0.023334
48,C3_broad_1to1,0.024181,0.024181
49,C3_broad_1to1,0.023109,0.023109
50,C3_broad_1to1,0.022848,0.022848
51,C3_broad_1to1,0.022471,0.022471
52,C3_broad_1to1,0.022007,0.022007
53,C3_broad_1to1,0.021774,0.021774
54,C3_broad_1to1,0.022160,0.022160
55,C3_broad_1to1,0.021403,0.021403
56,C3_broad_1to1,0.020982,0.020982
57,C3_broad_1to1,0.022931,0.022931
58,C3_broad_1to1,0.021497,0.021497
59,C3_broad_1to1,0.021062,0.021062
