epoch,S,Fw,E,MAE
30,0.6343,0.4545,0.8748,0.1912
35,0.6780,0.5007,0.8878,0.1619
40,0.7165,0.5489,0.8816,0.1387
45,0.6773,0.4964,0.8831,0.1577
50,0.7650,0.6193,0.8926,0.1059
55,0.6966,0.5279,0.8791,0.1374
60,0.7348,0.5671,0.8878,0.1221
65,0.7560,0.6050,0.8915,0.1075
70,0.8209,0.7342,0.8950,0.0757
75,0.8399,0.7745,0.9024,0.0629
80,0.8356,0.7763,0.9000,0.0641
85,0.8365,0.7801,0.8992,0.0633
90,0.8258,0.7609,0.8938,0.0674
95,0.8329,0.7717,0.8954,0.0638
100,0.8256,0.7638,0.8889,0.0653
105,0.8297,0.7702,0.8956,0.0647
110,0.8356,0.7770,0.8997,0.0623
115,0.8360,0.7779,0.9021,0.0616
120,0.8309,0.7707,0.8955,0.0640
125,0.8309,0.7719,0.8937,0.0638
130,0.8290,0.7707,0.8926,0.0641
135,0.8272,0.7697,0.8918,0.0642
140,0.8270,0.7704,0.8925,0.0639
145,0.8278,0.7711,0.8929,0.0637
150,0.8277,0.7715,0.8928,0.0637
