epoch,stage,total,bce
1,C3_broad_1to1,0.481591,0.481591
2,C3_broad_1to1,0.310854,0.310854
3,C3_broad_1to1,0.218679,0.218679
4,C3_broad_1to1,0.155863,0.155863
5,C3_broad_1to1,0.114974,0.114974
6,C3_broad_1to1,0.090571,0.090571
7,C3_broad_1to1,0.072641,0.072641
8,C3_broad_1to1,0.058583,0.058583
9,C3_broad_1to1,0.050587,0.050587
10,C3_broad_1to1,0.044313,0.044313
11,C3_broad_1to1,0.040571,0.040571
12,C3_broad_1to1,0.036096,0.036096
13,C3_broad_1to1,0.034415,0.034415
14,C3_broad_1to1,0.031843,0.031843
15,C3_broad_1to1,0.029783,0.029783
16,C3_broad_1to1,0.025529,0.025529
17,C3_broad_1to1,0.025783,0.025783
18,C3_broad_1to1,0.025671,0.025671
19,C3_broad_1to1,0.023371,0.023371
20,C3_broad_1to1,0.023438,0.023438
21,C3_broad_1to1,0.021255,0.021255
22,C3_broad_1to1,0.021296,0.021296
23,C3_broad_1to1,0.021196,0.021196
24,C3_broad_1to1,0.021763,0.021763
25,C3_broad_1to1,0.021197,0.021197
26,C3_broad_1to1,0.020180,0.020180
27,C3_broad_1to1,0.019409,0.019409
28,C3_broad_1to1,0.018520,0.018520
29,C3_broad_1to1,0.017791,0.017791
30,C3_broad_1to1,0.017889,0.017889
31,C3_broad_1to1,0.017365,0.017365
32,C3_broad_1to1,0.017741,0.017741
33,C3_broad_1to1,0.017291,0.017291
34,C3_broad_1to1,0.017395,0.017395
35,C3_broad_1to1,0.016966,0.016966
36,C3_broad_1to1,0.015987,0.015987
37,C3_broad_1to1,0.016420,0.016420
38,C3_broad_1to1,0.015746,0.015746
39,C3_broad_1to1,0.016429,0.016429
40,C3_broad_1to1,0.016872,0.016872
41,C3_broad_1to1,0.016282,0.016282
42,C3_broad_1to1,0.016391,0.016391
43,C3_broad_1to1,0.014941,0.014941
44,C3_broad_1to1,0.015599,0.015599
45,C3_broad_1to1,0.014909,0.014909
