epoch,S,Fw,E,MAE
30,0.5667,0.2687,0.9172,0.2062
35,0.5505,0.2594,0.9148,0.2218
40,0.6022,0.3089,0.9187,0.1752
45,0.6836,0.4085,0.9252,0.1089
50,0.7137,0.4486,0.9276,0.0880
55,0.7491,0.4998,0.9285,0.0658
60,0.7730,0.5621,0.9229,0.0597
65,0.7608,0.5330,0.9092,0.0660
70,0.7973,0.5893,0.9276,0.0481
75,0.8652,0.7640,0.9344,0.0278
80,0.8753,0.7901,0.9391,0.0252
85,0.8787,0.7975,0.9424,0.0233
90,0.8747,0.7960,0.9373,0.0256
95,0.8784,0.7993,0.9425,0.0232
100,0.8748,0.7914,0.9381,0.0255
105,0.8766,0.7995,0.9410,0.0242
110,0.8777,0.8017,0.9420,0.0234
115,0.8758,0.7961,0.9373,0.0244
120,0.8765,0.7995,0.9414,0.0234
125,0.8776,0.8027,0.9403,0.0235
130,0.8777,0.8028,0.9396,0.0237
135,0.8782,0.8034,0.9399,0.0237
140,0.8769,0.8028,0.9396,0.0237
145,0.8772,0.8036,0.9400,0.0235
150,0.8771,0.8033,0.9399,0.0236
