epoch,stage,total,bce,csr_alpha,p3_context,p3_current,p3_fine,p4_context,p4_current,p4_fine
1,C3_broad_1to1,0.476478,0.476478,0.150034,0.314220,0.400812,0.284968,0.440951,0.342760,0.216289
2,C3_broad_1to1,0.311408,0.311408,0.150239,0.318198,0.414966,0.266836,0.443807,0.342387,0.213807
3,C3_broad_1to1,0.217317,0.217317,0.150650,0.324760,0.416165,0.259075,0.443403,0.342991,0.213605
4,C3_broad_1to1,0.155201,0.155201,0.151264,0.322865,0.420107,0.257029,0.439729,0.344248,0.216023
5,C3_broad_1to1,0.112797,0.112797,0.152080,0.323124,0.420595,0.256281,0.438415,0.344372,0.217213
6,C3_broad_1to1,0.088381,0.088381,0.153096,0.322279,0.421116,0.256604,0.436927,0.345045,0.218028
7,C3_broad_1to1,0.067633,0.067633,0.154309,0.322418,0.421798,0.255784,0.436151,0.344932,0.218917
8,C3_broad_1to1,0.056411,0.056411,0.155715,0.318843,0.424698,0.256459,0.431043,0.347113,0.221845
9,C3_broad_1to1,0.045699,0.045699,0.157312,0.319498,0.424715,0.255788,0.431271,0.344976,0.223753
10,C3_broad_1to1,0.039653,0.039653,0.159094,0.320113,0.423684,0.256203,0.431095,0.345289,0.223616
11,C3_broad_1to1,0.035449,0.035449,0.161057,0.318391,0.424406,0.257203,0.431295,0.346480,0.222225
12,C3_broad_1to1,0.032493,0.032493,0.163195,0.318180,0.423301,0.258519,0.431570,0.345467,0.222963
13,C3_broad_1to1,0.029760,0.029760,0.165503,0.317518,0.423410,0.259072,0.428332,0.346351,0.225318
14,C3_broad_1to1,0.027819,0.027819,0.167974,0.317513,0.422464,0.260023,0.426112,0.346930,0.226958
15,C3_broad_1to1,0.025878,0.025878,0.170600,0.315525,0.422917,0.261558,0.424607,0.347658,0.227734
16,C3_broad_1to1,0.022203,0.022203,0.173376,0.314475,0.423683,0.261842,0.424545,0.347590,0.227865
17,C3_broad_1to1,0.021635,0.021635,0.176294,0.314250,0.422815,0.262935,0.423662,0.347179,0.229159
18,C3_broad_1to1,0.022663,0.022663,0.179345,0.312668,0.424329,0.263003,0.422580,0.347473,0.229947
19,C3_broad_1to1,0.020288,0.020288,0.182521,0.313142,0.422031,0.264827,0.422228,0.347824,0.229948
20,C3_broad_1to1,0.018716,0.018716,0.185814,0.312667,0.421337,0.265996,0.423186,0.345945,0.230869
21,C3_broad_1to1,0.018550,0.018550,0.189214,0.313702,0.420142,0.266155,0.423151,0.346061,0.230788
22,C3_broad_1to1,0.018752,0.018752,0.192712,0.311213,0.420731,0.268055,0.422730,0.346789,0.230480
23,C3_broad_1to1,0.019776,0.019776,0.196298,0.308031,0.421521,0.270448,0.424953,0.344183,0.230864
24,C3_broad_1to1,0.018332,0.018332,0.199964,0.309917,0.420715,0.269368,0.424462,0.344786,0.230752
25,C3_broad_1to1,0.016797,0.016797,0.203698,0.308473,0.421684,0.269842,0.422998,0.346107,0.230895
26,C3_broad_1to1,0.016967,0.016967,0.207490,0.308610,0.420193,0.271197,0.423333,0.345913,0.230753
27,C3_broad_1to1,0.016832,0.016832,0.211330,0.305865,0.421410,0.272725,0.423392,0.345050,0.231558
28,C3_broad_1to1,0.015233,0.015233,0.215208,0.306113,0.419942,0.273946,0.420497,0.345870,0.233634
29,C3_broad_1to1,0.015461,0.015461,0.219112,0.304556,0.421379,0.274065,0.419532,0.347482,0.232986
30,C3_broad_1to1,0.017738,0.017738,0.223033,0.303024,0.420860,0.276116,0.418628,0.347693,0.233680
31,C3_broad_1to1,0.015409,0.015409,0.226959,0.303966,0.420178,0.275856,0.419454,0.347434,0.233112
32,C3_broad_1to1,0.014629,0.014629,0.230880,0.304137,0.419665,0.276198,0.419054,0.347495,0.233451
33,C3_broad_1to1,0.014875,0.014875,0.234784,0.302306,0.419394,0.278300,0.418387,0.347780,0.233833
34,C3_broad_1to1,0.013772,0.013772,0.238662,0.302111,0.419541,0.278348,0.419543,0.347635,0.232822
35,C3_broad_1to1,0.013882,0.013882,0.242503,0.300682,0.420231,0.279086,0.418607,0.347769,0.233623
36,C3_broad_1to1,0.013297,0.013297,0.246295,0.301124,0.419405,0.279471,0.418158,0.348753,0.233089
37,C3_broad_1to1,0.014032,0.014032,0.250029,0.301199,0.417823,0.280978,0.419707,0.346335,0.233958
38,C3_broad_1to1,0.013675,0.013675,0.253694,0.299737,0.419684,0.280579,0.419242,0.347151,0.233608
39,C3_broad_1to1,0.013492,0.013492,0.257281,0.299784,0.418274,0.281942,0.417739,0.347728,0.234534
40,C3_broad_1to1,0.014097,0.014097,0.260779,0.300056,0.416942,0.283003,0.416716,0.348024,0.235260
41,C3_broad_1to1,0.013609,0.013609,0.264180,0.298756,0.416972,0.284272,0.418875,0.346712,0.234413
42,C3_broad_1to1,0.013088,0.013088,0.267472,0.299257,0.416061,0.284682,0.420572,0.346921,0.232507
43,C3_broad_1to1,0.012641,0.012641,0.270649,0.298705,0.417393,0.283902,0.418800,0.347315,0.233884
44,C3_broad_1to1,0.012788,0.012788,0.273700,0.291776,0.424089,0.284136,0.416750,0.346607,0.236644
45,C3_broad_1to1,0.012312,0.012312,0.276618,0.290832,0.424721,0.284448,0.416046,0.347419,0.236534
46,C3_broad_1to1,0.011943,0.011943,0.279394,0.292277,0.422175,0.285548,0.418379,0.345967,0.235654
47,C3_broad_1to1,0.011284,0.011284,0.282021,0.292819,0.421023,0.286158,0.417267,0.346352,0.236381
48,C3_broad_1to1,0.011838,0.011838,0.284492,0.292792,0.420317,0.286891,0.418227,0.346473,0.235300
49,C3_broad_1to1,0.012345,0.012345,0.286800,0.293230,0.419620,0.287150,0.415627,0.346496,0.237877
50,C3_broad_1to1,0.011730,0.011730,0.288939,0.292371,0.419741,0.287888,0.416160,0.347010,0.236831
51,C3_broad_1to1,0.012331,0.012331,0.290902,0.292865,0.417358,0.289777,0.417375,0.346395,0.236230
52,C3_broad_1to1,0.011349,0.011349,0.292684,0.294075,0.416631,0.289294,0.416477,0.346515,0.237008
53,C3_broad_1to1,0.010877,0.010877,0.294282,0.293922,0.416299,0.289780,0.416161,0.346124,0.237715
54,C3_broad_1to1,0.012093,0.012093,0.295689,0.292829,0.416927,0.290244,0.416792,0.347153,0.236056
55,C3_broad_1to1,0.011211,0.011211,0.296902,0.292574,0.418038,0.289387,0.416323,0.347314,0.236363
56,C3_broad_1to1,0.011657,0.011657,0.297919,0.291828,0.418258,0.289915,0.417602,0.347058,0.235340
57,C3_broad_1to1,0.010732,0.010732,0.298735,0.292133,0.417264,0.290603,0.417843,0.347319,0.234837
58,C3_broad_1to1,0.011174,0.011174,0.299349,0.290614,0.417933,0.291453,0.417371,0.347029,0.235601
59,C3_broad_1to1,0.010827,0.010827,0.299760,0.291074,0.417412,0.291513,0.417768,0.347535,0.234696
60,C3_broad_1to1,0.010635,0.010635,0.299966,0.290084,0.417104,0.292812,0.417279,0.347487,0.235234
61,C3_anneal,0.010773,0.010773,0.300359,0.290049,0.416236,0.293715,0.417612,0.347477,0.234911
62,C3_anneal,0.011697,0.011697,0.302512,0.291484,0.414817,0.293699,0.417470,0.347517,0.235013
63,C3_anneal,0.010334,0.010334,0.306808,0.290728,0.415363,0.293910,0.417688,0.345529,0.236783
64,C3_anneal,0.010334,0.010334,0.313220,0.290578,0.415210,0.294212,0.417656,0.344427,0.237918
65,C3_anneal,0.011757,0.011757,0.321708,0.289263,0.415803,0.294934,0.417434,0.346942,0.235624
66,C3_anneal,0.010757,0.010757,0.332220,0.288496,0.415072,0.296433,0.416213,0.348058,0.235729
67,C3_anneal,0.010648,0.010648,0.344692,0.288495,0.414540,0.296965,0.415969,0.347518,0.236513
68,C3_anneal,0.011053,0.011053,0.359045,0.289614,0.413063,0.297323,0.416044,0.348276,0.235680
69,C3_anneal,0.010104,0.010104,0.375193,0.289461,0.414049,0.296490,0.417271,0.347506,0.235224
70,C3_anneal,0.010378,0.010378,0.393035,0.289077,0.414609,0.296314,0.418001,0.347267,0.234732
71,C3_anneal,0.010406,0.010406,0.412461,0.288867,0.414115,0.297018,0.414128,0.349205,0.236667
72,C3_anneal,0.009610,0.009610,0.433351,0.288037,0.413968,0.297994,0.415106,0.348921,0.235973
73,C3_anneal,0.009779,0.009779,0.455578,0.288621,0.413573,0.297806,0.414794,0.348772,0.236434
74,C3_anneal,0.012744,0.012744,0.479003,0.287105,0.413713,0.299181,0.416082,0.348394,0.235524
75,C3_anneal,0.010811,0.010811,0.503482,0.287682,0.413442,0.298876,0.416944,0.347126,0.235931
76,C3_anneal,0.009937,0.009937,0.528865,0.288757,0.412150,0.299093,0.415709,0.347198,0.237093
77,C3_anneal,0.009972,0.009972,0.554994,0.288641,0.411434,0.299925,0.416659,0.346566,0.236775
78,C3_anneal,0.009571,0.009571,0.581709,0.288580,0.411400,0.300020,0.415269,0.348043,0.236688
79,C3_anneal,0.009783,0.009783,0.608845,0.288676,0.411538,0.299786,0.414814,0.347609,0.237576
80,C3_anneal,0.009746,0.009746,0.636235,0.289312,0.409985,0.300703,0.413993,0.348786,0.237221
81,C3_anneal,0.009643,0.009643,0.663710,0.289294,0.410518,0.300188,0.414054,0.349357,0.236589
82,C3_anneal,0.009347,0.009347,0.691100,0.289288,0.410748,0.299964,0.414787,0.348631,0.236582
83,C3_anneal,0.009029,0.009029,0.718237,0.290296,0.410573,0.299132,0.417051,0.348554,0.234395
84,C3_anneal,0.009696,0.009696,0.744954,0.289824,0.411885,0.298291,0.414521,0.349643,0.235837
85,C3_anneal,0.009524,0.009524,0.771084,0.289884,0.410984,0.299132,0.415753,0.348166,0.236081
86,C3_anneal,0.009311,0.009311,0.796469,0.290596,0.409038,0.300367,0.415955,0.348196,0.235850
87,C3_anneal,0.009106,0.009106,0.820950,0.291479,0.406656,0.301864,0.416896,0.346377,0.236728
88,C3_anneal,0.009111,0.009111,0.844377,0.291772,0.406603,0.301625,0.416356,0.346560,0.237083
89,C3_anneal,0.009833,0.009833,0.866606,0.291037,0.407992,0.300971,0.417088,0.346055,0.236857
90,C3_anneal,0.009623,0.009623,0.887499,0.289758,0.409133,0.301109,0.418689,0.345310,0.236001
91,C3_anneal,0.008893,0.008893,0.906928,0.289548,0.409096,0.301356,0.419112,0.346107,0.234782
92,C3_anneal,0.009300,0.009300,0.924773,0.289900,0.408354,0.301747,0.417230,0.346542,0.236228
93,C3_anneal,0.008907,0.008907,0.940924,0.289477,0.409020,0.301503,0.416967,0.346739,0.236294
94,C3_anneal,0.009159,0.009159,0.955282,0.289622,0.408237,0.302141,0.416144,0.347536,0.236320
95,C3_anneal,0.009504,0.009504,0.967757,0.290539,0.407685,0.301775,0.415066,0.348513,0.236422
96,C3_anneal,0.009070,0.009070,0.978273,0.289794,0.407678,0.302528,0.415893,0.347992,0.236116
97,C3_anneal,0.008923,0.008923,0.986765,0.290079,0.406967,0.302955,0.416184,0.347015,0.236801
98,C3_anneal,0.012016,0.012016,0.993181,0.288970,0.406867,0.304163,0.416085,0.348008,0.235906
99,C3_anneal,0.010822,0.010822,0.997481,0.287159,0.406478,0.306363,0.414292,0.347651,0.238057
100,C3_anneal,0.011021,0.011021,0.999639,0.285156,0.406669,0.308175,0.413058,0.346199,0.240742
101,C3_anneal,0.008783,0.008783,1.000000,0.286176,0.405162,0.308662,0.414657,0.345712,0.239631
102,C3_anneal,0.008546,0.008546,1.000000,0.287224,0.404597,0.308179,0.414840,0.345812,0.239348
103,C3_anneal,0.008512,0.008512,1.000000,0.288128,0.402834,0.309038,0.415191,0.345852,0.238957
104,C3_anneal,0.008653,0.008653,1.000000,0.288494,0.402660,0.308845,0.415397,0.346595,0.238008
105,C3_anneal,0.008451,0.008451,1.000000,0.288177,0.403101,0.308722,0.415604,0.346351,0.238045
106,C3_anneal,0.007889,0.007889,1.000000,0.287697,0.403551,0.308753,0.416221,0.345758,0.238021
107,C3_anneal,0.008021,0.008021,1.000000,0.288154,0.403593,0.308253,0.413440,0.347695,0.238864
108,C3_anneal,0.008107,0.008107,1.000000,0.288684,0.402496,0.308820,0.414947,0.346124,0.238929
109,C3_anneal,0.008030,0.008030,1.000000,0.288426,0.404050,0.307524,0.416825,0.345843,0.237332
110,C3_anneal,0.007960,0.007960,1.000000,0.288535,0.403332,0.308133,0.416810,0.347085,0.236105
111,C3_anneal,0.008034,0.008034,1.000000,0.288141,0.402387,0.309472,0.417163,0.347231,0.235607
112,C3_anneal,0.007678,0.007678,1.000000,0.288865,0.402786,0.308349,0.415914,0.347800,0.236286
113,C3_anneal,0.008093,0.008093,1.000000,0.288565,0.403075,0.308359,0.416773,0.347591,0.235635
114,C3_anneal,0.008291,0.008291,1.000000,0.289881,0.402111,0.308008,0.416241,0.346669,0.237090
115,C3_anneal,0.007715,0.007715,1.000000,0.289842,0.401304,0.308854,0.415017,0.345389,0.239593
116,C3_anneal,0.007730,0.007730,1.000000,0.290104,0.400653,0.309243,0.416227,0.344346,0.239427
117,C3_anneal,0.007561,0.007561,1.000000,0.290744,0.398466,0.310790,0.416732,0.345453,0.237815
118,C3_anneal,0.007305,0.007305,1.000000,0.290088,0.399881,0.310031,0.415678,0.346050,0.238271
119,C3_anneal,0.007368,0.007368,1.000000,0.290104,0.400556,0.309340,0.414539,0.346737,0.238723
120,C3_anneal,0.007547,0.007547,1.000000,0.291040,0.399289,0.309671,0.414961,0.346117,0.238922
121,C3_anneal,0.007099,0.007099,1.000000,0.291624,0.398512,0.309865,0.415744,0.345730,0.238526
122,C3_anneal,0.007081,0.007081,1.000000,0.291483,0.398700,0.309817,0.415542,0.345901,0.238557
123,C3_anneal,0.006905,0.006905,1.000000,0.291497,0.398759,0.309744,0.415583,0.346203,0.238214
124,C3_anneal,0.007365,0.007365,1.000000,0.291455,0.398852,0.309693,0.416548,0.346040,0.237412
125,C3_anneal,0.006853,0.006853,1.000000,0.291474,0.398771,0.309754,0.416648,0.345853,0.237499
126,C3_anneal,0.006633,0.006633,1.000000,0.291349,0.399037,0.309614,0.416638,0.345836,0.237526
127,C3_anneal,0.006603,0.006603,1.000000,0.291350,0.398995,0.309655,0.416665,0.345640,0.237694
128,C3_anneal,0.006787,0.006787,1.000000,0.291383,0.398954,0.309663,0.416706,0.345563,0.237732
129,C3_anneal,0.006708,0.006708,1.000000,0.291373,0.398936,0.309691,0.416501,0.345781,0.237718
130,C3_anneal,0.006774,0.006774,1.000000,0.291342,0.398937,0.309721,0.416907,0.345628,0.237465
131,C3_anneal,0.006706,0.006706,1.000000,0.291297,0.398907,0.309796,0.416846,0.345450,0.237704
132,C3_anneal,0.006518,0.006518,1.000000,0.291189,0.398924,0.309888,0.416827,0.345363,0.237810
133,C3_anneal,0.006435,0.006435,1.000000,0.291177,0.398813,0.310010,0.416626,0.345527,0.237847
134,C3_anneal,0.006127,0.006127,1.000000,0.291218,0.398756,0.310026,0.416872,0.345301,0.237827
135,C3_anneal,0.006380,0.006380,1.000000,0.291034,0.398913,0.310053,0.416710,0.345497,0.237793
136,C3_anneal,0.006324,0.006324,1.000000,0.290939,0.399030,0.310031,0.416621,0.345577,0.237802
137,C3_anneal,0.006272,0.006272,1.000000,0.291063,0.398999,0.309938,0.416696,0.345572,0.237733
138,C3_anneal,0.006585,0.006585,1.000000,0.291125,0.398855,0.310021,0.416883,0.345618,0.237499
