epoch,S,Fw,E,MAE
30,0.8176,0.7086,0.8874,0.0792
35,0.8148,0.7101,0.8816,0.0800
40,0.8396,0.7597,0.9079,0.0701
45,0.8428,0.7636,0.9070,0.0685
50,0.8405,0.7639,0.9051,0.0685
55,0.8381,0.7694,0.9052,0.0654
60,0.8443,0.7754,0.9105,0.0654
65,0.8366,0.7960,0.9083,0.0607
70,0.8315,0.7926,0.9033,0.0627
75,0.8324,0.7910,0.9026,0.0624
80,0.8352,0.7966,0.9100,0.0601
85,0.8282,0.7893,0.9041,0.0621
90,0.8338,0.7958,0.9060,0.0610
95,0.8300,0.7890,0.9011,0.0630
100,0.8298,0.7908,0.9030,0.0620
105,0.8313,0.7885,0.9036,0.0604
110,0.8345,0.7962,0.9080,0.0597
115,0.8317,0.7935,0.9046,0.0621
120,0.8266,0.7837,0.8975,0.0609
125,0.8279,0.7878,0.9015,0.0611
130,0.8291,0.7901,0.9034,0.0609
135,0.8297,0.7908,0.9037,0.0607
140,0.8290,0.7905,0.9035,0.0613
145,0.8299,0.7914,0.9048,0.0610
150,0.8296,0.7910,0.9040,0.0609
