epoch,S,Fw,E,MAE
30,0.7930,0.5794,0.9224,0.0505
35,0.8187,0.6310,0.9220,0.0407
40,0.8273,0.6532,0.9271,0.0379
45,0.8349,0.6652,0.9278,0.0354
50,0.8340,0.6655,0.9288,0.0354
55,0.8439,0.6916,0.9315,0.0314
60,0.8427,0.6901,0.9311,0.0325
65,0.8565,0.7772,0.9342,0.0250
70,0.8551,0.7789,0.9317,0.0260
75,0.8546,0.7775,0.9310,0.0260
80,0.8585,0.7843,0.9331,0.0252
85,0.8543,0.7799,0.9299,0.0255
90,0.8591,0.7856,0.9332,0.0246
95,0.8540,0.7756,0.9283,0.0268
100,0.8583,0.7851,0.9339,0.0247
105,0.8515,0.7729,0.9259,0.0259
110,0.8527,0.7765,0.9286,0.0264
115,0.8575,0.7835,0.9335,0.0253
120,0.8544,0.7797,0.9297,0.0246
125,0.8553,0.7819,0.9306,0.0248
130,0.8561,0.7827,0.9315,0.0248
135,0.8565,0.7833,0.9319,0.0249
140,0.8563,0.7830,0.9319,0.0249
145,0.8567,0.7833,0.9321,0.0249
150,0.8558,0.7828,0.9322,0.0249
