epoch,stage,total,bce
1,C3_broad_1to1,0.828348,0.500735
2,C3_broad_1to1,0.531188,0.318533
3,C3_broad_1to1,0.375185,0.225609
4,C3_broad_1to1,0.279797,0.168917
5,C3_broad_1to1,0.221743,0.133097
6,C3_broad_1to1,0.192267,0.113879
7,C3_broad_1to1,0.169089,0.097358
8,C3_broad_1to1,0.155763,0.087805
9,C3_broad_1to1,0.144485,0.079939
10,C3_broad_1to1,0.137245,0.074774
11,C3_broad_1to1,0.126958,0.067734
12,C3_broad_1to1,0.123145,0.064981
13,C3_broad_1to1,0.120554,0.063287
14,C3_broad_1to1,0.117448,0.061240
15,C3_broad_1to1,0.110415,0.056909
16,C3_broad_1to1,0.107295,0.053846
17,C3_broad_1to1,0.104125,0.052492
18,C3_broad_1to1,0.103835,0.052458
19,C3_broad_1to1,0.101729,0.051487
20,C3_broad_1to1,0.099129,0.049423
21,C3_broad_1to1,0.095248,0.047266
22,C3_broad_1to1,0.094783,0.046848
23,C3_broad_1to1,0.092762,0.046295
24,C3_broad_1to1,0.094572,0.046504
25,C3_broad_1to1,0.087403,0.043145
26,C3_broad_1to1,0.087620,0.043720
27,C3_broad_1to1,0.087742,0.043996
28,C3_broad_1to1,0.083583,0.041015
29,C3_broad_1to1,0.080724,0.039543
30,C3_broad_1to1,0.083553,0.040967
31,C3_broad_1to1,0.080370,0.039627
32,C3_broad_1to1,0.081547,0.040293
33,C3_broad_1to1,0.079577,0.039741
34,C3_broad_1to1,0.077595,0.037837
35,C3_broad_1to1,0.077659,0.038071
36,C3_broad_1to1,0.077583,0.038315
37,C3_broad_1to1,0.077139,0.037913
38,C3_broad_1to1,0.074678,0.036609
39,C3_broad_1to1,0.075072,0.036983
40,C3_broad_1to1,0.075256,0.037425
41,C3_broad_1to1,0.072184,0.035660
42,C3_broad_1to1,0.072662,0.035968
43,C3_broad_1to1,0.071040,0.034886
44,C3_broad_1to1,0.071435,0.035183
45,C3_broad_1to1,0.070513,0.034156
46,C3_broad_1to1,0.069536,0.034215
47,C3_broad_1to1,0.069309,0.033837
48,C3_broad_1to1,0.066870,0.032898
49,C3_broad_1to1,0.065245,0.031992
50,C3_broad_1to1,0.066985,0.032529
51,C3_broad_1to1,0.066118,0.032463
52,C3_broad_1to1,0.066020,0.032204
53,C3_broad_1to1,0.064054,0.031507
54,C3_broad_1to1,0.064800,0.031386
55,C3_broad_1to1,0.063767,0.031271
56,C3_broad_1to1,0.065981,0.032559
57,C3_broad_1to1,0.061443,0.029936
58,C3_broad_1to1,0.063175,0.030608
59,C3_broad_1to1,0.062132,0.030632
60,C3_broad_1to1,0.062578,0.030382
61,C3_anneal,0.176898,0.044578
62,C3_anneal,0.166397,0.054918
63,C3_anneal,0.159877,0.055403
64,C3_anneal,0.149824,0.053328
65,C3_anneal,0.149646,0.055688
66,C3_anneal,0.151172,0.060385
67,C3_anneal,0.146413,0.056820
68,C3_anneal,0.146917,0.062379
69,C3_anneal,0.139638,0.056004
70,C3_anneal,0.137438,0.060668
71,C3_anneal,0.138814,0.058648
72,C3_anneal,0.138664,0.062024
73,C3_anneal,0.139000,0.062777
74,C3_anneal,0.138820,0.062400
75,C3_anneal,0.135836,0.061200
