epoch,stage,total,bce,nc,q,csr_alpha,p3_context,p3_current,p3_fine,p4_context,p4_current,p4_fine
1,C3_broad_1to1,0.829666,0.501630,0.328036,2.000000,0.150034,0.322697,0.395363,0.281940,0.438618,0.343067,0.218314
2,C3_broad_1to1,0.532469,0.319057,0.213412,2.000000,0.150239,0.326360,0.404579,0.269061,0.432578,0.347304,0.220118
3,C3_broad_1to1,0.375403,0.225595,0.149807,2.000000,0.150650,0.321441,0.412361,0.266199,0.428554,0.349806,0.221640
4,C3_broad_1to1,0.284846,0.171310,0.113536,2.000000,0.151264,0.320274,0.412571,0.267156,0.427086,0.349929,0.222984
5,C3_broad_1to1,0.224839,0.134908,0.089931,2.000000,0.152080,0.319658,0.413181,0.267161,0.425921,0.351273,0.222805
6,C3_broad_1to1,0.192949,0.114233,0.078716,2.000000,0.153096,0.320362,0.413173,0.266465,0.425239,0.351415,0.223345
7,C3_broad_1to1,0.169349,0.097524,0.071825,2.000000,0.154309,0.319921,0.413297,0.266781,0.426304,0.349635,0.224061
8,C3_broad_1to1,0.152045,0.086108,0.065937,2.000000,0.155715,0.320722,0.412799,0.266480,0.426767,0.350408,0.222825
9,C3_broad_1to1,0.143707,0.079367,0.064340,2.000000,0.157312,0.320465,0.412897,0.266637,0.427348,0.350598,0.222054
10,C3_broad_1to1,0.136129,0.074234,0.061896,2.000000,0.159094,0.321442,0.412529,0.266028,0.427982,0.351528,0.220490
11,C3_broad_1to1,0.127943,0.068332,0.059610,2.000000,0.161057,0.321569,0.411774,0.266657,0.429930,0.351734,0.218336
12,C3_broad_1to1,0.123620,0.065114,0.058506,2.000000,0.163195,0.321983,0.411004,0.267013,0.431423,0.350965,0.217611
13,C3_broad_1to1,0.121311,0.063600,0.057711,2.000000,0.165503,0.321924,0.410954,0.267122,0.431681,0.349572,0.218747
14,C3_broad_1to1,0.117014,0.061054,0.055960,2.000000,0.167974,0.323131,0.408968,0.267901,0.430729,0.349318,0.219954
