epoch,S,Fw,E,MAE
30,0.5406,0.2688,0.8679,0.2299
35,0.5206,0.2517,0.8504,0.2552
40,0.6002,0.3236,0.9137,0.1597
45,0.6028,0.3240,0.9051,0.1586
50,0.6418,0.3634,0.9205,0.1291
55,0.6486,0.3673,0.9180,0.1250
60,0.6609,0.3907,0.9190,0.1100
65,0.6982,0.4742,0.8994,0.0763
70,0.8016,0.6439,0.9266,0.0423
75,0.8533,0.7687,0.9316,0.0263
80,0.8574,0.7854,0.9353,0.0241
85,0.8563,0.7819,0.9341,0.0253
90,0.8581,0.7866,0.9353,0.0241
95,0.8600,0.7904,0.9381,0.0236
100,0.8557,0.7823,0.9317,0.0251
105,0.8582,0.7882,0.9374,0.0241
110,0.8594,0.7887,0.9363,0.0239
115,0.8571,0.7846,0.9328,0.0249
120,0.8575,0.7831,0.9320,0.0256
125,0.8578,0.7851,0.9339,0.0245
130,0.8581,0.7851,0.9340,0.0245
135,0.8576,0.7852,0.9335,0.0245
140,0.8572,0.7845,0.9328,0.0246
145,0.8576,0.7852,0.9328,0.0246
150,0.8573,0.7847,0.9328,0.0247
