epoch,stage,total,bce
1,C3_broad_1to1,0.828910,0.500966
2,C3_broad_1to1,0.531654,0.318742
3,C3_broad_1to1,0.373477,0.224716
4,C3_broad_1to1,0.277392,0.167656
5,C3_broad_1to1,0.221958,0.133178
6,C3_broad_1to1,0.195274,0.115454
7,C3_broad_1to1,0.166886,0.096316
8,C3_broad_1to1,0.151946,0.085927
9,C3_broad_1to1,0.144065,0.079360
10,C3_broad_1to1,0.134741,0.073512
11,C3_broad_1to1,0.128041,0.068014
12,C3_broad_1to1,0.121932,0.064197
13,C3_broad_1to1,0.118076,0.062290
14,C3_broad_1to1,0.116651,0.060929
15,C3_broad_1to1,0.111444,0.057480
16,C3_broad_1to1,0.105935,0.053196
17,C3_broad_1to1,0.104413,0.052348
18,C3_broad_1to1,0.103360,0.051869
19,C3_broad_1to1,0.097551,0.049210
20,C3_broad_1to1,0.096282,0.048052
21,C3_broad_1to1,0.094576,0.046812
22,C3_broad_1to1,0.096936,0.047999
23,C3_broad_1to1,0.091499,0.045510
24,C3_broad_1to1,0.091854,0.045133
25,C3_broad_1to1,0.087589,0.043271
26,C3_broad_1to1,0.086614,0.043145
27,C3_broad_1to1,0.087264,0.043730
28,C3_broad_1to1,0.083858,0.041401
29,C3_broad_1to1,0.082376,0.040357
30,C3_broad_1to1,0.082713,0.040758
31,C3_broad_1to1,0.081248,0.040011
32,C3_broad_1to1,0.080920,0.039911
33,C3_broad_1to1,0.079731,0.039698
34,C3_broad_1to1,0.078390,0.038035
35,C3_broad_1to1,0.077852,0.038217
36,C3_broad_1to1,0.073570,0.036496
37,C3_broad_1to1,0.076413,0.037693
38,C3_broad_1to1,0.073837,0.036140
39,C3_broad_1to1,0.073669,0.036078
40,C3_broad_1to1,0.073061,0.036277
41,C3_broad_1to1,0.071463,0.035202
42,C3_broad_1to1,0.073809,0.036400
43,C3_broad_1to1,0.071453,0.035256
44,C3_broad_1to1,0.074079,0.036388
45,C3_broad_1to1,0.070097,0.033899
46,C3_broad_1to1,0.069026,0.033943
47,C3_broad_1to1,0.066713,0.032598
48,C3_broad_1to1,0.066820,0.032772
49,C3_broad_1to1,0.065685,0.032060
50,C3_broad_1to1,0.066451,0.032237
51,C3_broad_1to1,0.066729,0.032661
52,C3_broad_1to1,0.067475,0.032801
53,C3_broad_1to1,0.065995,0.032567
54,C3_broad_1to1,0.064321,0.031035
55,C3_broad_1to1,0.063686,0.031273
56,C3_broad_1to1,0.066072,0.032749
57,C3_broad_1to1,0.063329,0.030624
58,C3_broad_1to1,0.062160,0.030309
59,C3_broad_1to1,0.062927,0.031216
60,C3_broad_1to1,0.061682,0.029780
61,C3_anneal,0.177905,0.044126
62,C3_anneal,0.163928,0.051296
63,C3_anneal,0.156160,0.052885
64,C3_anneal,0.151841,0.053888
65,C3_anneal,0.153351,0.056062
66,C3_anneal,0.148140,0.056483
67,C3_anneal,0.145516,0.054982
68,C3_anneal,0.142129,0.058759
69,C3_anneal,0.138915,0.057625
70,C3_anneal,0.137093,0.060914
71,C3_anneal,0.137077,0.059102
72,C3_anneal,0.140350,0.064259
73,C3_anneal,0.137821,0.062919
74,C3_anneal,0.134856,0.065078
75,C3_anneal,0.136930,0.064304
76,C3_anneal,0.132122,0.061057
77,C3_anneal,0.135270,0.063190
78,C3_anneal,0.135859,0.061674
79,C3_anneal,0.132040,0.065917
80,C3_anneal,0.131825,0.061781
81,C3_anneal,0.129784,0.062858
82,C3_anneal,0.129715,0.068150
83,C3_anneal,0.123916,0.063505
84,C3_anneal,0.127755,0.064005
85,C3_anneal,0.124391,0.063521
86,C3_anneal,0.127750,0.065870
87,C3_anneal,0.123876,0.062153
88,C3_anneal,0.121372,0.065007
89,C3_anneal,0.122583,0.064567
90,C3_anneal,0.121484,0.062013
91,C3_anneal,0.120055,0.059053
92,C3_anneal,0.118945,0.062832
93,C3_anneal,0.115385,0.058893
94,C3_anneal,0.117220,0.056918
95,C3_anneal,0.117476,0.058640
96,C3_anneal,0.115507,0.060437
97,C3_anneal,0.118752,0.062446
98,C3_anneal,0.113746,0.056814
99,C3_anneal,0.111536,0.057121
100,C3_anneal,0.115362,0.055382
101,C3_anneal,0.109692,0.053583
102,C3_anneal,0.107975,0.054338
103,C3_anneal,0.108372,0.056222
104,C3_anneal,0.107952,0.051980
105,C3_anneal,0.102398,0.051466
106,C3_anneal,0.103034,0.050434
107,C3_anneal,0.102888,0.049634
108,C3_anneal,0.100151,0.051272
109,C3_anneal,0.098728,0.046721
110,C3_anneal,0.097476,0.048498
111,C3_anneal,0.100965,0.045211
112,C3_anneal,0.099119,0.046449
113,C3_anneal,0.094894,0.043529
114,C3_anneal,0.096232,0.043641
