epoch,stage,total,bce,nc,q,csr_alpha,p3_context,p3_current,p3_fine,p4_context,p4_current,p4_fine
1,C3_broad_1to1,0.840173,0.507689,0.332484,2.000000,0.150034,0.326141,0.394949,0.278910,0.441497,0.342653,0.215850
2,C3_broad_1to1,0.560017,0.334759,0.225258,2.000000,0.150239,0.333046,0.402817,0.264137,0.433723,0.350076,0.216201
3,C3_broad_1to1,0.403220,0.241822,0.161398,2.000000,0.150650,0.330661,0.410090,0.259249,0.427352,0.353814,0.218834
4,C3_broad_1to1,0.300871,0.181586,0.119285,2.000000,0.151264,0.326717,0.414482,0.258801,0.424137,0.355895,0.219969
5,C3_broad_1to1,0.235681,0.142025,0.093656,2.000000,0.152080,0.323585,0.416420,0.259995,0.422232,0.356704,0.221064
6,C3_broad_1to1,0.203125,0.121190,0.081935,2.000000,0.153096,0.322405,0.418447,0.259149,0.423021,0.356190,0.220789
7,C3_broad_1to1,0.176049,0.102431,0.073618,2.000000,0.154309,0.321589,0.418726,0.259685,0.423592,0.355390,0.221018
8,C3_broad_1to1,0.157936,0.089796,0.068140,2.000000,0.155715,0.321713,0.418709,0.259578,0.422432,0.355630,0.221939
9,C3_broad_1to1,0.150902,0.083682,0.067220,2.000000,0.157312,0.322003,0.419027,0.258971,0.423538,0.354401,0.222061
10,C3_broad_1to1,0.138471,0.075785,0.062686,2.000000,0.159094,0.321356,0.418652,0.259992,0.424240,0.353849,0.221911
11,C3_broad_1to1,0.131199,0.070202,0.060997,2.000000,0.161057,0.321166,0.418020,0.260814,0.423427,0.353923,0.222650
12,C3_broad_1to1,0.123784,0.065618,0.058166,2.000000,0.163195,0.323381,0.416626,0.259993,0.424480,0.353401,0.222119
13,C3_broad_1to1,0.123637,0.064997,0.058640,2.000000,0.165503,0.323937,0.415998,0.260064,0.421481,0.354535,0.223983
14,C3_broad_1to1,0.120360,0.062750,0.057609,2.000000,0.167974,0.325106,0.414301,0.260593,0.420841,0.355569,0.223591
15,C3_broad_1to1,0.114043,0.058876,0.055167,2.000000,0.170600,0.324885,0.413428,0.261687,0.422536,0.353556,0.223908
16,C3_broad_1to1,0.105500,0.053304,0.052197,2.000000,0.173376,0.326274,0.413309,0.260417,0.422808,0.353377,0.223815
17,C3_broad_1to1,0.104962,0.052883,0.052079,2.000000,0.176294,0.325775,0.413182,0.261043,0.422776,0.353940,0.223284
18,C3_broad_1to1,0.107644,0.054125,0.053519,2.000000,0.179345,0.325156,0.413181,0.261663,0.421895,0.355258,0.222847
19,C3_broad_1to1,0.105301,0.052989,0.052312,2.000000,0.182521,0.324584,0.412699,0.262717,0.422024,0.354481,0.223495
20,C3_broad_1to1,0.098757,0.049311,0.049445,2.000000,0.185814,0.324768,0.412404,0.262828,0.421200,0.354481,0.224318
21,C3_broad_1to1,0.095123,0.047288,0.047835,2.000000,0.189214,0.325663,0.411663,0.262674,0.422636,0.354819,0.222545
22,C3_broad_1to1,0.095288,0.047387,0.047901,2.000000,0.192712,0.325294,0.410277,0.264429,0.420919,0.355069,0.224012
23,C3_broad_1to1,0.094996,0.047186,0.047810,2.000000,0.196298,0.325494,0.408964,0.265542,0.421448,0.354204,0.224348
24,C3_broad_1to1,0.092620,0.045383,0.047237,2.000000,0.199964,0.326193,0.408454,0.265353,0.420567,0.355132,0.224301
25,C3_broad_1to1,0.089465,0.044276,0.045189,2.000000,0.203698,0.326248,0.407183,0.266569,0.421443,0.353900,0.224657
26,C3_broad_1to1,0.089602,0.044470,0.045132,2.000000,0.207490,0.327038,0.407118,0.265844,0.420031,0.354126,0.225843
27,C3_broad_1to1,0.088053,0.043987,0.044066,2.000000,0.211330,0.328215,0.404909,0.266876,0.419044,0.353521,0.227435
28,C3_broad_1to1,0.083823,0.041260,0.042563,2.000000,0.215208,0.326845,0.404776,0.268379,0.419107,0.353958,0.226935
29,C3_broad_1to1,0.083264,0.040647,0.042617,2.000000,0.219112,0.328028,0.402292,0.269680,0.418130,0.355056,0.226813
30,C3_broad_1to1,0.086963,0.042515,0.044448,2.000000,0.223033,0.328493,0.401173,0.270334,0.416251,0.357251,0.226498
31,C3_broad_1to1,0.081613,0.040095,0.041518,2.000000,0.226959,0.327388,0.401606,0.271006,0.418224,0.356971,0.224805
32,C3_broad_1to1,0.081461,0.040102,0.041360,2.000000,0.230880,0.325836,0.402121,0.272044,0.419158,0.355363,0.225479
33,C3_broad_1to1,0.080818,0.040298,0.040520,2.000000,0.234784,0.326211,0.401136,0.272653,0.420046,0.354740,0.225214
34,C3_broad_1to1,0.078557,0.038201,0.040355,2.000000,0.238662,0.327071,0.400503,0.272426,0.419478,0.355303,0.225220
35,C3_broad_1to1,0.078030,0.038196,0.039834,2.000000,0.242503,0.326263,0.401368,0.272369,0.419728,0.354488,0.225784
36,C3_broad_1to1,0.075884,0.037515,0.038368,2.000000,0.246295,0.327381,0.399654,0.272965,0.422124,0.353911,0.223965
37,C3_broad_1to1,0.077498,0.038241,0.039257,2.000000,0.250029,0.327149,0.399820,0.273031,0.421297,0.354276,0.224426
38,C3_broad_1to1,0.075195,0.036829,0.038365,2.000000,0.253694,0.327910,0.399314,0.272776,0.418762,0.355940,0.225298
39,C3_broad_1to1,0.074348,0.036340,0.038008,2.000000,0.257281,0.328026,0.397804,0.274170,0.418188,0.356880,0.224932
40,C3_broad_1to1,0.073225,0.036276,0.036949,2.000000,0.260779,0.327687,0.398234,0.274079,0.419775,0.355700,0.224524
41,C3_broad_1to1,0.073883,0.036409,0.037475,2.000000,0.264180,0.328479,0.396559,0.274961,0.420277,0.354212,0.225511
42,C3_broad_1to1,0.073325,0.036137,0.037188,2.000000,0.267472,0.329254,0.395607,0.275138,0.420758,0.354171,0.225071
43,C3_broad_1to1,0.070874,0.034783,0.036091,2.000000,0.270649,0.329271,0.395966,0.274763,0.421213,0.353745,0.225042
44,C3_broad_1to1,0.071104,0.034970,0.036134,2.000000,0.273700,0.329272,0.395360,0.275367,0.422507,0.353857,0.223636
45,C3_broad_1to1,0.070581,0.034161,0.036420,2.000000,0.276618,0.329160,0.394911,0.275929,0.423012,0.352763,0.224225
46,C3_broad_1to1,0.069608,0.034197,0.035410,2.000000,0.279394,0.330425,0.393565,0.276010,0.420720,0.353460,0.225820
47,C3_broad_1to1,0.069139,0.033597,0.035542,2.000000,0.282021,0.329061,0.394332,0.276607,0.419422,0.353870,0.226708
48,C3_broad_1to1,0.070875,0.035048,0.035827,2.000000,0.284492,0.329878,0.394074,0.276048,0.420301,0.352010,0.227689
49,C3_broad_1to1,0.066550,0.032547,0.034003,2.000000,0.286800,0.330381,0.392559,0.277061,0.421391,0.351456,0.227152
