epoch,S,Fw,E,MAE
30,0.4613,0.2006,0.8513,0.3069
35,0.5270,0.2520,0.8412,0.2200
40,0.4984,0.2276,0.8422,0.2722
45,0.5370,0.2581,0.8607,0.2103
50,0.5675,0.2859,0.8775,0.1731
55,0.6072,0.3257,0.9020,0.1436
60,0.6402,0.3662,0.9025,0.1123
65,0.6400,0.3960,0.8734,0.1012
70,0.7576,0.5671,0.9175,0.0535
75,0.8444,0.7468,0.9311,0.0283
80,0.8574,0.7802,0.9357,0.0255
85,0.8581,0.7861,0.9369,0.0243
90,0.8608,0.7879,0.9366,0.0242
95,0.8598,0.7882,0.9372,0.0239
100,0.8598,0.7878,0.9354,0.0238
105,0.8573,0.7882,0.9357,0.0244
110,0.8603,0.7897,0.9364,0.0237
115,0.8591,0.7898,0.9351,0.0239
120,0.8612,0.7913,0.9359,0.0237
125,0.8630,0.7934,0.9373,0.0234
130,0.8627,0.7928,0.9371,0.0235
135,0.8630,0.7937,0.9372,0.0233
140,0.8623,0.7928,0.9369,0.0235
145,0.8629,0.7927,0.9368,0.0234
150,0.8623,0.7925,0.9363,0.0235
