epoch,S,Fw,E,MAE
30,0.7161,0.5590,0.8968,0.1350
35,0.6903,0.5270,0.8917,0.1528
40,0.7318,0.5811,0.8891,0.1239
45,0.7421,0.5903,0.8944,0.1211
50,0.7571,0.6104,0.8940,0.1091
55,0.7674,0.6273,0.8963,0.1000
60,0.7900,0.6583,0.8994,0.0878
65,0.8046,0.7136,0.8942,0.0774
70,0.8283,0.7680,0.9019,0.0641
75,0.8341,0.7932,0.9057,0.0616
80,0.8389,0.8013,0.9085,0.0592
85,0.8425,0.8053,0.9122,0.0575
90,0.8403,0.8038,0.9088,0.0590
95,0.8451,0.8098,0.9149,0.0559
100,0.8432,0.8056,0.9114,0.0570
105,0.8429,0.8094,0.9142,0.0558
110,0.8411,0.8058,0.9112,0.0564
115,0.8447,0.8099,0.9154,0.0552
120,0.8456,0.8099,0.9157,0.0559
125,0.8413,0.8056,0.9132,0.0567
130,0.8405,0.8044,0.9117,0.0566
135,0.8433,0.8088,0.9128,0.0558
140,0.8418,0.8066,0.9116,0.0565
145,0.8422,0.8064,0.9116,0.0562
150,0.8424,0.8077,0.9129,0.0556
