epoch,S,Fw,E,MAE
30,0.6311,0.3657,0.9005,0.1234
35,0.6078,0.3374,0.8974,0.1426
40,0.6556,0.3946,0.9047,0.1079
45,0.6573,0.3849,0.9118,0.1109
50,0.6765,0.4160,0.9097,0.0993
55,0.6947,0.4405,0.9086,0.0829
60,0.7163,0.4601,0.9141,0.0723
65,0.8077,0.6569,0.9201,0.0385
70,0.8389,0.7282,0.9282,0.0297
75,0.8507,0.7652,0.9297,0.0271
80,0.8570,0.7789,0.9324,0.0251
85,0.8611,0.7837,0.9366,0.0243
90,0.8608,0.7851,0.9371,0.0242
95,0.8613,0.7877,0.9372,0.0237
100,0.8623,0.7872,0.9362,0.0241
105,0.8633,0.7909,0.9377,0.0239
110,0.8603,0.7872,0.9357,0.0239
115,0.8637,0.7920,0.9374,0.0237
120,0.8624,0.7881,0.9356,0.0240
125,0.8647,0.7947,0.9389,0.0232
130,0.8641,0.7941,0.9391,0.0233
135,0.8648,0.7941,0.9392,0.0233
140,0.8643,0.7942,0.9384,0.0232
145,0.8647,0.7946,0.9382,0.0231
150,0.8638,0.7945,0.9387,0.0232
