epoch,stage,total,bce,nc,q,csr_alpha,p3_context,p3_current,p3_fine,p4_context,p4_current,p4_fine
1,C3_broad_1to1,0.841421,0.511034,0.330387,2.000000,0.150034,0.340131,0.396074,0.263794,0.452196,0.337828,0.209976
2,C3_broad_1to1,0.572570,0.343475,0.229095,2.000000,0.150239,0.354324,0.397486,0.248190,0.455633,0.336696,0.207671
3,C3_broad_1to1,0.422880,0.254198,0.168682,2.000000,0.150650,0.354020,0.400257,0.245723,0.454233,0.338097,0.207670
4,C3_broad_1to1,0.328180,0.197038,0.131142,2.000000,0.151264,0.346041,0.408841,0.245118,0.454591,0.338937,0.206472
5,C3_broad_1to1,0.276959,0.165676,0.111282,2.000000,0.152080,0.343119,0.413012,0.243868,0.453571,0.338895,0.207534
6,C3_broad_1to1,0.244623,0.144122,0.100501,2.000000,0.153096,0.344188,0.413212,0.242600,0.455966,0.338426,0.205608
7,C3_broad_1to1,0.220971,0.126702,0.094270,2.000000,0.154309,0.343920,0.414233,0.241847,0.454846,0.339197,0.205957
8,C3_broad_1to1,0.203664,0.115238,0.088426,2.000000,0.155715,0.342980,0.415019,0.242001,0.458106,0.338945,0.202949
9,C3_broad_1to1,0.198650,0.110295,0.088355,2.000000,0.157312,0.340454,0.416997,0.242549,0.461408,0.337835,0.200757
10,C3_broad_1to1,0.193915,0.105615,0.088299,2.000000,0.159094,0.339833,0.416765,0.243402,0.457244,0.342053,0.200703
11,C3_broad_1to1,0.182950,0.099009,0.083941,2.000000,0.161057,0.339102,0.416908,0.243990,0.459573,0.341910,0.198518
12,C3_broad_1to1,0.175502,0.094116,0.081386,2.000000,0.163195,0.339846,0.415803,0.244350,0.462472,0.339649,0.197879
13,C3_broad_1to1,0.165331,0.087081,0.078250,2.000000,0.165503,0.339235,0.416854,0.243911,0.462919,0.339369,0.197713
14,C3_broad_1to1,0.162937,0.085661,0.077276,2.000000,0.167974,0.339808,0.416431,0.243760,0.463732,0.338908,0.197360
15,C3_broad_1to1,0.159924,0.083302,0.076623,2.000000,0.170600,0.339928,0.416613,0.243459,0.465653,0.338477,0.195870
16,C3_broad_1to1,0.154792,0.080898,0.073894,2.000000,0.173376,0.339052,0.416567,0.244380,0.465043,0.338546,0.196412
17,C3_broad_1to1,0.150231,0.078286,0.071944,2.000000,0.176294,0.338639,0.416437,0.244925,0.464809,0.339152,0.196039
18,C3_broad_1to1,0.146278,0.075862,0.070415,2.000000,0.179345,0.339822,0.414996,0.245182,0.463603,0.341879,0.194518
19,C3_broad_1to1,0.149006,0.077266,0.071740,2.000000,0.182521,0.337841,0.416424,0.245734,0.464929,0.341651,0.193420
20,C3_broad_1to1,0.138124,0.070885,0.067239,2.000000,0.185814,0.337107,0.416864,0.246029,0.464826,0.340762,0.194412
21,C3_broad_1to1,0.141077,0.072728,0.068349,2.000000,0.189214,0.338392,0.414719,0.246890,0.465147,0.338988,0.195865
22,C3_broad_1to1,0.137618,0.070300,0.067317,2.000000,0.192712,0.337147,0.415032,0.247821,0.468266,0.337894,0.193840
23,C3_broad_1to1,0.133760,0.068634,0.065125,2.000000,0.196298,0.336633,0.414788,0.248579,0.465353,0.340181,0.194466
24,C3_broad_1to1,0.130520,0.066410,0.064110,2.000000,0.199964,0.338836,0.412701,0.248462,0.467959,0.339408,0.192633
25,C3_broad_1to1,0.130039,0.066226,0.063814,2.000000,0.203698,0.340395,0.412087,0.247518,0.464885,0.341248,0.193867
26,C3_broad_1to1,0.129679,0.067253,0.062426,2.000000,0.207490,0.339265,0.412344,0.248391,0.466143,0.341076,0.192781
27,C3_broad_1to1,0.126598,0.065023,0.061575,2.000000,0.211330,0.337508,0.412325,0.250166,0.465531,0.342045,0.192424
28,C3_broad_1to1,0.125121,0.064124,0.060997,2.000000,0.215208,0.336366,0.413733,0.249900,0.462552,0.345334,0.192113
29,C3_broad_1to1,0.121857,0.062138,0.059718,2.000000,0.219112,0.335715,0.414105,0.250181,0.462283,0.344019,0.193698
30,C3_broad_1to1,0.119928,0.060973,0.058954,2.000000,0.223033,0.335916,0.413237,0.250847,0.462864,0.343685,0.193451
31,C3_broad_1to1,0.120729,0.061447,0.059282,2.000000,0.226959,0.335314,0.413382,0.251304,0.464525,0.343271,0.192204
32,C3_broad_1to1,0.117572,0.060127,0.057445,2.000000,0.230880,0.335156,0.412692,0.252152,0.465048,0.345055,0.189897
33,C3_broad_1to1,0.117574,0.059947,0.057627,2.000000,0.234784,0.333955,0.413273,0.252772,0.464284,0.346392,0.189324
34,C3_broad_1to1,0.117610,0.060257,0.057354,2.000000,0.238662,0.333815,0.412644,0.253541,0.462901,0.346511,0.190588
35,C3_broad_1to1,0.113740,0.057856,0.055884,2.000000,0.242503,0.334917,0.411231,0.253852,0.462633,0.347466,0.189901
36,C3_broad_1to1,0.110164,0.055869,0.054296,2.000000,0.246295,0.335255,0.410814,0.253931,0.462552,0.347550,0.189899
37,C3_broad_1to1,0.109609,0.055916,0.053693,2.000000,0.250029,0.334333,0.411513,0.254153,0.461142,0.350207,0.188651
38,C3_broad_1to1,0.110929,0.056493,0.054436,2.000000,0.253694,0.334465,0.411298,0.254237,0.461003,0.349425,0.189572
39,C3_broad_1to1,0.109614,0.055798,0.053817,2.000000,0.257281,0.334175,0.410693,0.255132,0.458697,0.351179,0.190124
40,C3_broad_1to1,0.106799,0.054544,0.052255,2.000000,0.260779,0.333103,0.411536,0.255361,0.458396,0.351591,0.190013
41,C3_broad_1to1,0.106972,0.054511,0.052461,2.000000,0.264180,0.334046,0.411013,0.254941,0.457685,0.351277,0.191037
42,C3_broad_1to1,0.107321,0.055051,0.052269,2.000000,0.267472,0.335383,0.409793,0.254824,0.459124,0.349231,0.191645
