epoch,S,Fw,E,MAE
30,0.6233,0.3683,0.8986,0.1300
35,0.6732,0.4228,0.9251,0.0963
40,0.6548,0.3932,0.9249,0.1132
45,0.7132,0.4715,0.9326,0.0753
50,0.7633,0.5506,0.9272,0.0571
55,0.7820,0.5765,0.9323,0.0494
60,0.7386,0.5136,0.9233,0.0651
65,0.7430,0.5396,0.9167,0.0541
70,0.8291,0.7043,0.9313,0.0351
75,0.8708,0.8078,0.9399,0.0241
80,0.8732,0.8104,0.9377,0.0262
85,0.8766,0.8172,0.9427,0.0221
90,0.8694,0.8077,0.9380,0.0235
95,0.8753,0.8159,0.9406,0.0227
100,0.8724,0.8123,0.9386,0.0236
105,0.8719,0.8146,0.9397,0.0238
110,0.8748,0.8167,0.9418,0.0237
115,0.8693,0.8108,0.9379,0.0249
120,0.8723,0.8148,0.9389,0.0237
