epoch,stage,total,bce
1,C3_broad_1to1,0.808360,0.486731
2,C3_broad_1to1,0.513243,0.306231
3,C3_broad_1to1,0.360536,0.215785
4,C3_broad_1to1,0.263676,0.158900
5,C3_broad_1to1,0.201906,0.121825
6,C3_broad_1to1,0.170635,0.101763
7,C3_broad_1to1,0.144376,0.084515
8,C3_broad_1to1,0.129060,0.073943
9,C3_broad_1to1,0.121521,0.067813
10,C3_broad_1to1,0.112854,0.062219
11,C3_broad_1to1,0.106457,0.057032
12,C3_broad_1to1,0.100412,0.053303
13,C3_broad_1to1,0.098377,0.052052
14,C3_broad_1to1,0.094300,0.049462
15,C3_broad_1to1,0.090930,0.047092
16,C3_broad_1to1,0.083930,0.042496
17,C3_broad_1to1,0.080879,0.040812
18,C3_broad_1to1,0.082513,0.041766
19,C3_broad_1to1,0.077474,0.039048
20,C3_broad_1to1,0.077672,0.038694
21,C3_broad_1to1,0.071291,0.035538
22,C3_broad_1to1,0.072819,0.036164
23,C3_broad_1to1,0.073677,0.036644
24,C3_broad_1to1,0.071969,0.035536
25,C3_broad_1to1,0.068631,0.034020
26,C3_broad_1to1,0.068928,0.034805
27,C3_broad_1to1,0.068079,0.034376
28,C3_broad_1to1,0.065087,0.032154
29,C3_broad_1to1,0.065998,0.032214
30,C3_broad_1to1,0.065110,0.032196
31,C3_broad_1to1,0.063193,0.031265
32,C3_broad_1to1,0.061821,0.030822
33,C3_broad_1to1,0.061661,0.031087
34,C3_broad_1to1,0.059065,0.029012
35,C3_broad_1to1,0.059716,0.029503
36,C3_broad_1to1,0.057484,0.028821
37,C3_broad_1to1,0.058473,0.029317
38,C3_broad_1to1,0.058595,0.028923
39,C3_broad_1to1,0.058888,0.029003
40,C3_broad_1to1,0.058187,0.029310
41,C3_broad_1to1,0.059151,0.029593
42,C3_broad_1to1,0.057141,0.028684
43,C3_broad_1to1,0.053961,0.026972
44,C3_broad_1to1,0.053982,0.026947
45,C3_broad_1to1,0.053254,0.026271
46,C3_broad_1to1,0.052892,0.026595
47,C3_broad_1to1,0.050005,0.024886
48,C3_broad_1to1,0.051106,0.025526
49,C3_broad_1to1,0.052167,0.025836
50,C3_broad_1to1,0.050616,0.025123
51,C3_broad_1to1,0.051866,0.025943
52,C3_broad_1to1,0.049986,0.024691
53,C3_broad_1to1,0.049813,0.024947
54,C3_broad_1to1,0.048153,0.023852
55,C3_broad_1to1,0.049959,0.024989
56,C3_broad_1to1,0.051176,0.025636
57,C3_broad_1to1,0.050132,0.025083
58,C3_broad_1to1,0.048620,0.024295
59,C3_broad_1to1,0.049209,0.024750
60,C3_broad_1to1,0.047148,0.023251
61,C3_anneal,0.128180,0.036783
62,C3_anneal,0.122804,0.046391
63,C3_anneal,0.120755,0.047295
64,C3_anneal,0.115169,0.049250
65,C3_anneal,0.112430,0.046262
66,C3_anneal,0.104528,0.045706
67,C3_anneal,0.107726,0.045807
68,C3_anneal,0.104345,0.047947
69,C3_anneal,0.103716,0.046277
70,C3_anneal,0.102542,0.049067
71,C3_anneal,0.102824,0.046962
72,C3_anneal,0.100862,0.050025
73,C3_anneal,0.099326,0.047421
74,C3_anneal,0.100186,0.048102
75,C3_anneal,0.101519,0.048446
76,C3_anneal,0.099833,0.049974
77,C3_anneal,0.098851,0.048354
78,C3_anneal,0.098595,0.047236
79,C3_anneal,0.096492,0.050138
80,C3_anneal,0.097620,0.048464
81,C3_anneal,0.097365,0.049090
82,C3_anneal,0.098230,0.054498
83,C3_anneal,0.092491,0.049352
84,C3_anneal,0.094375,0.050615
85,C3_anneal,0.093951,0.049170
86,C3_anneal,0.088726,0.049001
87,C3_anneal,0.091070,0.048240
88,C3_anneal,0.089021,0.051615
89,C3_anneal,0.089488,0.049402
90,C3_anneal,0.091613,0.048450
91,C3_anneal,0.088493,0.046869
92,C3_anneal,0.088525,0.049598
93,C3_anneal,0.084884,0.045245
94,C3_anneal,0.084686,0.042083
95,C3_anneal,0.084424,0.044264
96,C3_anneal,0.084267,0.044571
97,C3_anneal,0.085719,0.045652
98,C3_anneal,0.083040,0.042564
99,C3_anneal,0.083570,0.042592
100,C3_anneal,0.082044,0.039689
101,C3_anneal,0.080089,0.038601
102,C3_anneal,0.079945,0.040314
103,C3_anneal,0.078612,0.040381
104,C3_anneal,0.077199,0.038401
105,C3_anneal,0.077338,0.041283
106,C3_anneal,0.074247,0.035706
107,C3_anneal,0.076981,0.036924
108,C3_anneal,0.074120,0.039363
109,C3_anneal,0.071243,0.033038
110,C3_anneal,0.072233,0.035626
111,C3_anneal,0.073779,0.032387
112,C3_anneal,0.070559,0.033184
113,C3_anneal,0.069402,0.031641
114,C3_anneal,0.070772,0.029914
115,C3_anneal,0.068878,0.030952
116,C3_anneal,0.067116,0.030538
117,C3_anneal,0.070349,0.030697
118,C3_anneal,0.064446,0.029679
119,C3_anneal,0.063876,0.025816
120,C3_anneal,0.063636,0.025188
121,C3_anneal,0.058591,0.023899
122,C3_anneal,0.059964,0.025715
123,C3_anneal,0.059178,0.023511
