epoch,stage,total,bce,nc,q,csr_alpha,p3_context,p3_current,p3_fine,p4_context,p4_current,p4_fine
1,C3_broad_1to1,0.831212,0.502451,0.328761,2.000000,0.150034,0.327395,0.394693,0.277912,0.442877,0.340386,0.216737
2,C3_broad_1to1,0.543429,0.325417,0.218011,2.000000,0.150239,0.336594,0.403249,0.260158,0.437974,0.346131,0.215895
3,C3_broad_1to1,0.390152,0.234347,0.155804,2.000000,0.150650,0.340253,0.402046,0.257702,0.436310,0.349353,0.214337
4,C3_broad_1to1,0.293902,0.177218,0.116685,2.000000,0.151264,0.339303,0.402979,0.257718,0.435956,0.350951,0.213092
5,C3_broad_1to1,0.230531,0.138973,0.091558,2.000000,0.152080,0.336799,0.403974,0.259227,0.436132,0.350151,0.213717
6,C3_broad_1to1,0.198584,0.118303,0.080281,2.000000,0.153096,0.336781,0.403242,0.259976,0.434295,0.352743,0.212962
7,C3_broad_1to1,0.173159,0.100586,0.072573,2.000000,0.154309,0.336713,0.402230,0.261057,0.437319,0.351381,0.211300
8,C3_broad_1to1,0.154806,0.088109,0.066697,2.000000,0.155715,0.336549,0.402388,0.261063,0.436566,0.351576,0.211858
9,C3_broad_1to1,0.144577,0.080520,0.064056,2.000000,0.157312,0.336677,0.401235,0.262088,0.435173,0.351052,0.213775
10,C3_broad_1to1,0.138437,0.075667,0.062770,2.000000,0.159094,0.337624,0.400161,0.262215,0.433396,0.350777,0.215828
11,C3_broad_1to1,0.129386,0.069335,0.060050,2.000000,0.161057,0.338209,0.400097,0.261694,0.434778,0.349978,0.215244
12,C3_broad_1to1,0.122425,0.064877,0.057548,2.000000,0.163195,0.338590,0.398094,0.263316,0.436036,0.350107,0.213857
13,C3_broad_1to1,0.118401,0.062522,0.055879,2.000000,0.165503,0.340564,0.396975,0.262461,0.436485,0.349834,0.213681
14,C3_broad_1to1,0.117220,0.061248,0.055972,2.000000,0.167974,0.341656,0.397062,0.261282,0.435574,0.349394,0.215033
15,C3_broad_1to1,0.111361,0.057469,0.053892,2.000000,0.170600,0.341809,0.396441,0.261749,0.436450,0.347504,0.216046
16,C3_broad_1to1,0.107780,0.054185,0.053595,2.000000,0.173376,0.341043,0.395863,0.263095,0.437016,0.347177,0.215807
17,C3_broad_1to1,0.105057,0.052798,0.052259,2.000000,0.176294,0.342620,0.394944,0.262437,0.436068,0.348061,0.215871
18,C3_broad_1to1,0.104390,0.052653,0.051737,2.000000,0.179345,0.342556,0.393833,0.263611,0.433996,0.349224,0.216780
19,C3_broad_1to1,0.098496,0.049863,0.048633,2.000000,0.182521,0.343287,0.393044,0.263668,0.431499,0.349078,0.219423
20,C3_broad_1to1,0.095537,0.047708,0.047828,2.000000,0.185814,0.343252,0.392378,0.264369,0.432443,0.348458,0.219098
21,C3_broad_1to1,0.092739,0.046079,0.046660,2.000000,0.189214,0.343736,0.391498,0.264766,0.433363,0.348972,0.217665
22,C3_broad_1to1,0.092512,0.046016,0.046495,2.000000,0.192712,0.343141,0.391543,0.265316,0.433839,0.349058,0.217102
23,C3_broad_1to1,0.095953,0.047701,0.048252,2.000000,0.196298,0.344283,0.390823,0.264893,0.433296,0.348218,0.218487
24,C3_broad_1to1,0.091243,0.044835,0.046408,2.000000,0.199964,0.344976,0.389818,0.265206,0.434444,0.347146,0.218410
25,C3_broad_1to1,0.087414,0.043056,0.044358,2.000000,0.203698,0.344955,0.389076,0.265969,0.434367,0.348760,0.216873
26,C3_broad_1to1,0.087746,0.043589,0.044157,2.000000,0.207490,0.344691,0.388617,0.266692,0.435272,0.348600,0.216128
27,C3_broad_1to1,0.088427,0.044298,0.044130,2.000000,0.211330,0.343884,0.388693,0.267422,0.434645,0.349393,0.215962
