epoch,S,Fw,E,MAE
30,0.7029,0.5241,0.8822,0.1385
35,0.7597,0.6051,0.8905,0.1054
40,0.7547,0.5982,0.8827,0.1149
45,0.8043,0.6723,0.8954,0.0852
50,0.8005,0.6752,0.8905,0.0860
55,0.8142,0.7088,0.8936,0.0784
60,0.7585,0.5973,0.8885,0.1131
65,0.8156,0.7434,0.8981,0.0721
70,0.8199,0.7575,0.8965,0.0676
75,0.8385,0.7989,0.9105,0.0579
80,0.8340,0.7936,0.9043,0.0571
85,0.8439,0.8094,0.9169,0.0545
90,0.8345,0.7956,0.9078,0.0572
95,0.8338,0.7964,0.9053,0.0587
100,0.8389,0.8019,0.9094,0.0557
105,0.8287,0.7895,0.9005,0.0590
110,0.8354,0.7996,0.9096,0.0547
115,0.8362,0.8004,0.9111,0.0553
120,0.8286,0.7905,0.9053,0.0580
125,0.8301,0.7924,0.9074,0.0579
130,0.8330,0.7954,0.9105,0.0567
135,0.8327,0.7953,0.9103,0.0563
140,0.8332,0.7964,0.9106,0.0559
145,0.8335,0.7961,0.9099,0.0558
150,0.8330,0.7953,0.9106,0.0561
