epoch,S,Fw,E,MAE
30,0.8248,0.7392,0.8944,0.0738
35,0.8382,0.7664,0.9032,0.0673
40,0.8423,0.7727,0.9073,0.0653
45,0.8367,0.7645,0.9016,0.0671
50,0.8321,0.7663,0.9036,0.0688
55,0.8409,0.7833,0.9027,0.0648
60,0.8391,0.7868,0.9046,0.0666
65,0.8356,0.7780,0.8975,0.0682
70,0.8405,0.7900,0.9052,0.0649
75,0.8393,0.7878,0.9038,0.0653
80,0.8452,0.7970,0.9097,0.0630
85,0.8376,0.7899,0.9069,0.0639
90,0.8408,0.7920,0.9046,0.0630
95,0.8385,0.7924,0.9028,0.0644
100,0.8400,0.7893,0.8987,0.0688
105,0.8337,0.7861,0.9032,0.0654
110,0.8430,0.7973,0.9076,0.0628
115,0.8403,0.7956,0.9067,0.0630
120,0.8453,0.7990,0.9085,0.0619
125,0.8423,0.7983,0.9081,0.0623
130,0.8416,0.7974,0.9075,0.0627
135,0.8424,0.7987,0.9083,0.0624
140,0.8417,0.7981,0.9080,0.0625
145,0.8414,0.7975,0.9082,0.0622
150,0.8414,0.7969,0.9074,0.0629
