epoch,S,Fw,E,MAE
30,0.8318,0.6524,0.9360,0.0347
35,0.8495,0.6992,0.9375,0.0308
40,0.8528,0.7041,0.9385,0.0298
45,0.8539,0.7083,0.9408,0.0284
50,0.8515,0.7230,0.9323,0.0299
55,0.8599,0.7501,0.9348,0.0275
60,0.8659,0.7761,0.9391,0.0255
65,0.8652,0.7719,0.9351,0.0276
70,0.8696,0.7912,0.9383,0.0256
75,0.8691,0.7848,0.9327,0.0269
80,0.8752,0.8019,0.9422,0.0242
85,0.8740,0.8042,0.9405,0.0244
90,0.8753,0.8029,0.9425,0.0236
95,0.8736,0.8053,0.9391,0.0249
100,0.8708,0.7946,0.9337,0.0270
105,0.8678,0.7999,0.9351,0.0247
110,0.8737,0.8057,0.9379,0.0247
115,0.8750,0.8085,0.9404,0.0242
120,0.8739,0.8055,0.9366,0.0247
125,0.8756,0.8105,0.9394,0.0238
130,0.8763,0.8107,0.9397,0.0237
135,0.8763,0.8109,0.9400,0.0234
140,0.8762,0.8113,0.9401,0.0233
145,0.8758,0.8112,0.9400,0.0234
150,0.8762,0.8108,0.9395,0.0236
