epoch,stage,total,bce,nc,q,anchor,consistency,consistency_weight,csr_alpha,csr_gate,p3_context,p3_current,p3_fine,p3_residual_ratio,p3_route_entropy,p3_route_spatial_std,p4_context,p4_current,p4_fine,p4_residual_ratio,p4_route_entropy,p4_route_spatial_std,pixel_reliability,q_max,q_min,sample_reliability,scale_loss
1,C3_broad_1to1,0.715049,0.418713,0.296336,2.000000,0.418713,0.000000,0.000000,0.010030,0.010030,0.376313,0.370573,0.253115,0.010139,0.918528,0.094232,0.386805,0.239350,0.373845,0.010134,0.947664,0.045739,0.977904,2.000000,2.000000,0.500000,0.000000
2,C3_broad_1to1,0.440275,0.252125,0.188149,2.000000,0.252125,0.000000,0.000000,0.010207,0.010207,0.435254,0.330256,0.234490,0.010311,0.813257,0.169352,0.394128,0.248224,0.357648,0.010308,0.922908,0.069448,0.977772,2.000000,2.000000,0.500000,0.000000
3,C3_broad_1to1,0.292737,0.165471,0.127266,2.000000,0.165471,0.000000,0.000000,0.010561,0.010561,0.451536,0.311280,0.237183,0.010697,0.770630,0.189784,0.403303,0.247569,0.349128,0.010662,0.884966,0.106974,0.978025,2.000000,2.000000,0.500000,0.000000
4,C3_broad_1to1,0.211292,0.116288,0.095004,2.000000,0.116288,0.000000,0.000000,0.011090,0.011090,0.462584,0.300576,0.236840,0.011562,0.761855,0.186218,0.398588,0.254416,0.346995,0.011192,0.869631,0.113874,0.978062,2.000000,2.000000,0.500000,0.000000
5,C3_broad_1to1,0.163436,0.086700,0.076737,2.000000,0.086700,0.000000,0.000000,0.011793,0.011793,0.468496,0.300791,0.230713,0.013110,0.760910,0.175033,0.396861,0.263376,0.339763,0.011895,0.859905,0.116967,0.978237,2.000000,2.000000,0.500000,0.000000
6,C3_broad_1to1,0.134489,0.067807,0.066682,2.000000,0.067807,0.000000,0.000000,0.012666,0.012666,0.465671,0.298888,0.235441,0.015369,0.768023,0.164383,0.396558,0.268284,0.335158,0.012771,0.854874,0.117800,0.978251,2.000000,2.000000,0.500000,0.000000
7,C3_broad_1to1,0.112860,0.053914,0.058946,2.000000,0.053914,0.000000,0.000000,0.013707,0.013707,0.460552,0.301337,0.238110,0.017945,0.774763,0.156468,0.391945,0.275421,0.332634,0.013812,0.852729,0.115821,0.978517,2.000000,2.000000,0.500000,0.000000
8,C3_broad_1to1,0.100564,0.045900,0.054664,2.000000,0.045900,0.000000,0.000000,0.014910,0.014910,0.462634,0.301960,0.235406,0.020492,0.774394,0.154125,0.394307,0.274704,0.330989,0.015000,0.845893,0.118600,0.977832,2.000000,2.000000,0.500000,0.000000
9,C3_broad_1to1,0.087909,0.037940,0.049969,2.000000,0.037940,0.000000,0.000000,0.016272,0.016272,0.465749,0.297595,0.236655,0.023640,0.782902,0.146736,0.392854,0.276214,0.330932,0.016404,0.843250,0.117264,0.978243,2.000000,2.000000,0.500000,0.000000
10,C3_broad_1to1,0.085253,0.035403,0.049850,2.000000,0.035403,0.000000,0.000000,0.017786,0.017786,0.465128,0.295157,0.239715,0.026733,0.787338,0.142765,0.390451,0.280900,0.328649,0.017937,0.843367,0.116347,0.978372,2.000000,2.000000,0.500000,0.000000
