epoch,S,Fw,E,MAE
30,0.7117,0.5676,0.8739,0.1485
35,0.7675,0.6371,0.8799,0.1048
40,0.7264,0.5770,0.8553,0.1326
45,0.7639,0.6296,0.8824,0.1071
50,0.7541,0.6265,0.8706,0.1096
55,0.7666,0.6327,0.8692,0.1083
60,0.8053,0.7113,0.8819,0.0822
65,0.8035,0.7311,0.8884,0.0798
70,0.8238,0.7723,0.9014,0.0663
75,0.8275,0.7870,0.9009,0.0631
80,0.8366,0.7990,0.9079,0.0609
85,0.8343,0.7952,0.9067,0.0592
90,0.8352,0.7971,0.9039,0.0597
95,0.8358,0.7970,0.9035,0.0600
100,0.8338,0.7922,0.9008,0.0601
105,0.8327,0.7907,0.9046,0.0596
110,0.8293,0.7877,0.8962,0.0607
115,0.8298,0.7867,0.8974,0.0587
120,0.8301,0.7897,0.8977,0.0615
125,0.8277,0.7865,0.8978,0.0619
130,0.8301,0.7896,0.9003,0.0613
135,0.8316,0.7912,0.9015,0.0604
140,0.8316,0.7911,0.9020,0.0604
145,0.8306,0.7908,0.8999,0.0609
150,0.8316,0.7920,0.9011,0.0612
