epoch,stage,total,bce,nc,q,csr_alpha,p3_context,p3_current,p3_fine,p4_context,p4_current,p4_fine,rgpu_p2_mix,rgpu_p2_ratio,rgpu_p3_mix,rgpu_p3_ratio,rgpu_p4_mix,rgpu_p4_ratio,rgpu_p5_mix,rgpu_p5_ratio
1,C3_broad_1to1,0.645351,0.389381,0.255970,2.000000,0.150034,0.317841,0.399159,0.283001,0.455530,0.334159,0.210310,0.023672,0.036431,-0.019071,0.023012,-0.015269,0.018481,-0.005107,0.007068
2,C3_broad_1to1,0.400834,0.242020,0.158814,2.000000,0.150239,0.312899,0.410411,0.276690,0.463637,0.324202,0.212161,0.053456,0.081070,-0.039178,0.047510,-0.025077,0.031202,-0.008768,0.012290
3,C3_broad_1to1,0.297548,0.180041,0.117507,2.000000,0.150650,0.315090,0.410044,0.274866,0.461399,0.321321,0.217280,0.067350,0.101110,-0.046692,0.056804,-0.029096,0.035525,-0.009315,0.012848
4,C3_broad_1to1,0.229782,0.138439,0.091344,2.000000,0.151264,0.316718,0.409569,0.273713,0.461674,0.320455,0.217871,0.075381,0.111252,-0.049642,0.061182,-0.032724,0.039987,-0.010259,0.014014
5,C3_broad_1to1,0.195321,0.116103,0.079219,2.000000,0.152080,0.317623,0.409794,0.272583,0.464626,0.316871,0.218503,0.082683,0.120337,-0.052467,0.065137,-0.036224,0.043663,-0.011407,0.015374
6,C3_broad_1to1,0.168367,0.098690,0.069677,2.000000,0.153096,0.318784,0.409531,0.271685,0.466798,0.314495,0.218707,0.088431,0.127579,-0.055001,0.068343,-0.039642,0.048432,-0.012938,0.016599
7,C3_broad_1to1,0.149514,0.085569,0.063945,2.000000,0.154309,0.320253,0.407116,0.272631,0.465138,0.315094,0.219768,0.093504,0.134395,-0.057554,0.071108,-0.042152,0.051063,-0.012815,0.017027
8,C3_broad_1to1,0.139949,0.078162,0.061788,2.000000,0.155715,0.321765,0.407248,0.270987,0.464602,0.314073,0.221325,0.098210,0.139942,-0.059720,0.074532,-0.044292,0.053800,-0.012079,0.016172
9,C3_broad_1to1,0.130578,0.071702,0.058876,2.000000,0.157312,0.322625,0.404464,0.272911,0.466317,0.314132,0.219552,0.102421,0.150371,-0.062526,0.078506,-0.045571,0.055381,-0.011137,0.015480
10,C3_broad_1to1,0.125766,0.067873,0.057893,2.000000,0.159094,0.322854,0.403703,0.273442,0.467904,0.313977,0.218119,0.105996,0.157776,-0.064317,0.080661,-0.047754,0.057355,-0.010905,0.014717
11,C3_broad_1to1,0.115984,0.061960,0.054024,2.000000,0.161057,0.325058,0.403354,0.271588,0.468315,0.313045,0.218640,0.109110,0.163656,-0.066277,0.084182,-0.049769,0.060637,-0.012290,0.016218
12,C3_broad_1to1,0.112433,0.059473,0.052960,2.000000,0.163195,0.326683,0.402173,0.271144,0.469581,0.312403,0.218015,0.112047,0.170986,-0.068242,0.086134,-0.052069,0.064261,-0.011736,0.015577
13,C3_broad_1to1,0.106556,0.054867,0.051689,2.000000,0.165503,0.325566,0.402936,0.271498,0.471821,0.312250,0.215929,0.114252,0.173986,-0.069592,0.086188,-0.053970,0.066518,-0.012260,0.016549
14,C3_broad_1to1,0.105293,0.054053,0.051240,2.000000,0.167974,0.326155,0.402039,0.271807,0.473098,0.311376,0.215526,0.117388,0.184587,-0.070984,0.088697,-0.055042,0.067141,-0.010843,0.014368
15,C3_broad_1to1,0.104060,0.054473,0.049586,2.000000,0.170600,0.327939,0.400692,0.271369,0.475042,0.311387,0.213571,0.119576,0.185227,-0.072778,0.089614,-0.056563,0.069641,-0.010149,0.013265
16,C3_broad_1to1,0.096423,0.049191,0.047232,2.000000,0.173376,0.327766,0.400641,0.271592,0.473716,0.311738,0.214545,0.122194,0.191176,-0.074583,0.091699,-0.058779,0.072589,-0.011010,0.014616
17,C3_broad_1to1,0.098204,0.050135,0.048068,2.000000,0.176294,0.327761,0.402431,0.269808,0.472047,0.313642,0.214310,0.124649,0.196894,-0.076477,0.094962,-0.060633,0.074064,-0.011243,0.015046
