epoch,S,Fw,E,MAE
30,0.5989,0.3346,0.8652,0.1716
35,0.7244,0.4861,0.9091,0.0769
40,0.6503,0.3800,0.8788,0.1300
45,0.7017,0.4522,0.9068,0.0908
50,0.6919,0.4427,0.8948,0.0943
55,0.6929,0.4357,0.8845,0.0997
60,0.7611,0.5504,0.9009,0.0632
65,0.8042,0.6592,0.9178,0.0438
70,0.8349,0.7251,0.9223,0.0309
75,0.8536,0.7750,0.9311,0.0258
80,0.8570,0.7790,0.9323,0.0260
85,0.8602,0.7880,0.9337,0.0247
90,0.8570,0.7819,0.9306,0.0248
95,0.8584,0.7867,0.9328,0.0247
100,0.8599,0.7877,0.9327,0.0247
105,0.8562,0.7834,0.9300,0.0253
110,0.8600,0.7863,0.9308,0.0249
115,0.8582,0.7867,0.9304,0.0239
120,0.8604,0.7903,0.9335,0.0238
125,0.8599,0.7893,0.9320,0.0243
130,0.8612,0.7906,0.9328,0.0241
135,0.8605,0.7901,0.9323,0.0242
140,0.8611,0.7904,0.9320,0.0240
145,0.8609,0.7913,0.9330,0.0240
150,0.8618,0.7922,0.9331,0.0242
