epoch,S,Fw,E,MAE
30,0.8413,0.7789,0.9043,0.0674
35,0.8356,0.7797,0.9061,0.0663
40,0.8403,0.7823,0.9042,0.0651
45,0.8289,0.7700,0.8980,0.0699
50,0.8383,0.7806,0.9037,0.0676
55,0.8343,0.7818,0.9015,0.0664
60,0.8458,0.7907,0.9067,0.0618
65,0.8424,0.7913,0.9083,0.0637
70,0.8402,0.7829,0.8989,0.0663
75,0.8374,0.7807,0.8977,0.0654
80,0.8453,0.7902,0.9061,0.0633
85,0.8451,0.7917,0.9086,0.0620
90,0.8436,0.7891,0.9070,0.0628
95,0.8384,0.7866,0.9077,0.0643
100,0.8407,0.7880,0.9022,0.0649
105,0.8450,0.7912,0.9067,0.0631
110,0.8476,0.7960,0.9106,0.0604
115,0.8442,0.7941,0.9074,0.0623
120,0.8433,0.7910,0.9042,0.0635
125,0.8424,0.7917,0.9052,0.0632
130,0.8432,0.7938,0.9067,0.0624
135,0.8435,0.7938,0.9072,0.0624
140,0.8428,0.7933,0.9064,0.0627
145,0.8426,0.7937,0.9064,0.0625
150,0.8430,0.7935,0.9069,0.0625
