epoch,S,Fw,E,MAE
30,0.8576,0.7517,0.9331,0.0290
35,0.8620,0.7651,0.9355,0.0271
40,0.8661,0.7731,0.9343,0.0251
45,0.8657,0.7747,0.9379,0.0256
50,0.8663,0.7720,0.9385,0.0264
55,0.8669,0.7835,0.9341,0.0254
60,0.8736,0.7904,0.9375,0.0239
65,0.8758,0.7985,0.9421,0.0240
70,0.8749,0.7908,0.9393,0.0246
75,0.8762,0.7976,0.9389,0.0235
80,0.8773,0.7965,0.9418,0.0241
85,0.8765,0.7970,0.9401,0.0242
90,0.8770,0.7972,0.9402,0.0243
95,0.8768,0.8002,0.9413,0.0237
100,0.8760,0.7990,0.9399,0.0237
105,0.8780,0.8001,0.9403,0.0236
110,0.8784,0.8025,0.9419,0.0233
115,0.8763,0.8018,0.9395,0.0238
120,0.8767,0.7999,0.9385,0.0241
125,0.8770,0.8024,0.9388,0.0236
130,0.8770,0.8037,0.9388,0.0233
135,0.8770,0.8035,0.9392,0.0234
140,0.8772,0.8040,0.9397,0.0234
145,0.8769,0.8044,0.9395,0.0233
150,0.8775,0.8041,0.9396,0.0232
