epoch,stage,total,bce,nc,q,anchor,consistency,consistency_weight,csr_alpha,csr_gate,p3_context,p3_current,p3_fine,p3_residual_ratio,p3_route_entropy,p3_route_spatial_std,p4_context,p4_current,p4_fine,p4_residual_ratio,p4_route_entropy,p4_route_spatial_std,pixel_reliability,q_max,q_min,sample_reliability,scale_loss
1,C3_broad_1to1,0.426234,0.426234,0.000000,0.000000,0.426234,0.000000,0.000000,0.010030,0.010030,0.372241,0.369718,0.258041,0.010138,0.928692,0.083598,0.383478,0.238283,0.378239,0.010133,0.943052,0.046767,0.000000,0.000000,0.000000,0.000000,0.000000
2,C3_broad_1to1,0.261515,0.261515,0.000000,0.000000,0.261515,0.000000,0.000000,0.010207,0.010207,0.402620,0.339308,0.258073,0.010310,0.870735,0.129079,0.382706,0.247710,0.369583,0.010306,0.913674,0.078416,0.000000,0.000000,0.000000,0.000000,0.000000
3,C3_broad_1to1,0.174599,0.174599,0.000000,0.000000,0.174599,0.000000,0.000000,0.010561,0.010561,0.417320,0.322774,0.259906,0.010682,0.826056,0.147499,0.388923,0.243641,0.367436,0.010658,0.880262,0.101729,0.000000,0.000000,0.000000,0.000000,0.000000
4,C3_broad_1to1,0.123489,0.123489,0.000000,0.000000,0.123489,0.000000,0.000000,0.011090,0.011090,0.419121,0.317330,0.263548,0.011447,0.809388,0.145311,0.390289,0.243272,0.366439,0.011187,0.862787,0.112764,0.000000,0.000000,0.000000,0.000000,0.000000
5,C3_broad_1to1,0.091643,0.091643,0.000000,0.000000,0.091643,0.000000,0.000000,0.011793,0.011793,0.417089,0.313307,0.269604,0.012968,0.801773,0.142217,0.394977,0.244592,0.360431,0.011884,0.843162,0.119552,0.000000,0.000000,0.000000,0.000000,0.000000
6,C3_broad_1to1,0.069720,0.069720,0.000000,0.000000,0.069720,0.000000,0.000000,0.012666,0.012666,0.409983,0.318999,0.271018,0.015280,0.799597,0.134714,0.391968,0.250083,0.357950,0.012752,0.839154,0.119809,0.000000,0.000000,0.000000,0.000000,0.000000
7,C3_broad_1to1,0.057296,0.057296,0.000000,0.000000,0.057296,0.000000,0.000000,0.013707,0.013707,0.405148,0.320944,0.273908,0.018314,0.801755,0.134955,0.388289,0.255889,0.355823,0.013787,0.832364,0.118599,0.000000,0.000000,0.000000,0.000000,0.000000
8,C3_broad_1to1,0.047887,0.047887,0.000000,0.000000,0.047887,0.000000,0.000000,0.014910,0.014910,0.407473,0.323231,0.269297,0.021571,0.801512,0.132956,0.383870,0.259151,0.356979,0.014987,0.832656,0.116545,0.000000,0.000000,0.000000,0.000000,0.000000
9,C3_broad_1to1,0.038894,0.038894,0.000000,0.000000,0.038894,0.000000,0.000000,0.016272,0.016272,0.406207,0.328322,0.265470,0.024637,0.798503,0.135986,0.388128,0.257239,0.354633,0.016344,0.821784,0.120135,0.000000,0.000000,0.000000,0.000000,0.000000
10,C3_broad_1to1,0.038291,0.038291,0.000000,0.000000,0.038291,0.000000,0.000000,0.017786,0.017786,0.404464,0.322433,0.273104,0.028531,0.803434,0.133575,0.385865,0.259488,0.354648,0.017896,0.817101,0.119337,0.000000,0.000000,0.000000,0.000000,0.000000
11,C3_broad_1to1,0.031682,0.031682,0.000000,0.000000,0.031682,0.000000,0.000000,0.019447,0.019447,0.405869,0.326610,0.267521,0.031099,0.799176,0.132643,0.383426,0.263433,0.353140,0.019578,0.812434,0.120343,0.000000,0.000000,0.000000,0.000000,0.000000
12,C3_broad_1to1,0.032153,0.032153,0.000000,0.000000,0.032153,0.000000,0.000000,0.021249,0.021249,0.409761,0.326221,0.264018,0.034083,0.795830,0.132719,0.384975,0.264966,0.350059,0.021429,0.809435,0.122037,0.000000,0.000000,0.000000,0.000000,0.000000
13,C3_broad_1to1,0.025538,0.025538,0.000000,0.000000,0.025538,0.000000,0.000000,0.023183,0.023183,0.407739,0.330322,0.261939,0.036228,0.790921,0.132987,0.383109,0.266144,0.350746,0.023351,0.809451,0.121488,0.000000,0.000000,0.000000,0.000000,0.000000
14,C3_broad_1to1,0.026771,0.026771,0.000000,0.000000,0.026771,0.000000,0.000000,0.025244,0.025244,0.410474,0.329398,0.260128,0.038003,0.789494,0.129531,0.383868,0.269193,0.346940,0.025394,0.805963,0.124806,0.000000,0.000000,0.000000,0.000000,0.000000
15,C3_broad_1to1,0.024406,0.024406,0.000000,0.000000,0.024406,0.000000,0.000000,0.027422,0.027422,0.409823,0.330499,0.259677,0.041883,0.788288,0.129739,0.383932,0.267257,0.348810,0.027862,0.803314,0.124606,0.000000,0.000000,0.000000,0.000000,0.000000
16,C3_broad_1to1,0.023191,0.023191,0.000000,0.000000,0.023191,0.000000,0.000000,0.029708,0.029708,0.411255,0.330937,0.257808,0.047355,0.790711,0.132679,0.380792,0.270889,0.348319,0.030070,0.799881,0.124692,0.000000,0.000000,0.000000,0.000000,0.000000
17,C3_broad_1to1,0.023143,0.023143,0.000000,0.000000,0.023143,0.000000,0.000000,0.032094,0.032094,0.410373,0.329591,0.260036,0.050271,0.790632,0.132521,0.376333,0.273292,0.350374,0.032804,0.795690,0.120259,0.000000,0.000000,0.000000,0.000000,0.000000
18,C3_broad_1to1,0.021553,0.021553,0.000000,0.000000,0.021553,0.000000,0.000000,0.034571,0.034571,0.414763,0.328078,0.257159,0.053356,0.796172,0.129173,0.377070,0.276150,0.346780,0.034787,0.798527,0.117784,0.000000,0.000000,0.000000,0.000000,0.000000
19,C3_broad_1to1,0.020858,0.020858,0.000000,0.000000,0.020858,0.000000,0.000000,0.037129,0.037129,0.418946,0.327819,0.253235,0.056664,0.795417,0.128502,0.372709,0.280305,0.346986,0.037834,0.791296,0.120126,0.000000,0.000000,0.000000,0.000000,0.000000
20,C3_broad_1to1,0.020137,0.020137,0.000000,0.000000,0.020137,0.000000,0.000000,0.039757,0.039757,0.422402,0.327557,0.250041,0.061360,0.790351,0.131350,0.373927,0.282344,0.343728,0.040169,0.789467,0.121472,0.000000,0.000000,0.000000,0.000000,0.000000
21,C3_broad_1to1,0.018550,0.018550,0.000000,0.000000,0.018550,0.000000,0.000000,0.042445,0.042445,0.423649,0.327483,0.248868,0.064549,0.792362,0.129682,0.375962,0.280864,0.343174,0.042533,0.791155,0.121947,0.000000,0.000000,0.000000,0.000000,0.000000
22,C3_broad_1to1,0.018328,0.018328,0.000000,0.000000,0.018328,0.000000,0.000000,0.045182,0.045182,0.420668,0.330572,0.248761,0.067967,0.791153,0.129042,0.377650,0.276796,0.345553,0.045361,0.789748,0.121288,0.000000,0.000000,0.000000,0.000000,0.000000
23,C3_broad_1to1,0.019009,0.019009,0.000000,0.000000,0.019009,0.000000,0.000000,0.047959,0.047959,0.421944,0.328215,0.249842,0.071047,0.797340,0.125678,0.369254,0.280526,0.350220,0.048016,0.792461,0.116959,0.000000,0.000000,0.000000,0.000000,0.000000
24,C3_broad_1to1,0.017849,0.017849,0.000000,0.000000,0.017849,0.000000,0.000000,0.050763,0.050763,0.423185,0.325665,0.251151,0.075979,0.793446,0.128890,0.365507,0.282259,0.352234,0.050880,0.792856,0.115875,0.000000,0.000000,0.000000,0.000000,0.000000
25,C3_broad_1to1,0.018429,0.018429,0.000000,0.000000,0.018429,0.000000,0.000000,0.053584,0.053584,0.425542,0.328087,0.246371,0.078893,0.795381,0.127117,0.371118,0.280700,0.348182,0.053687,0.790339,0.122824,0.000000,0.000000,0.000000,0.000000,0.000000
26,C3_broad_1to1,0.015638,0.015638,0.000000,0.000000,0.015638,0.000000,0.000000,0.056410,0.056410,0.427396,0.325391,0.247213,0.082833,0.800188,0.125613,0.371989,0.278488,0.349523,0.056454,0.794586,0.119311,0.000000,0.000000,0.000000,0.000000,0.000000
27,C3_broad_1to1,0.015634,0.015634,0.000000,0.000000,0.015634,0.000000,0.000000,0.059231,0.059231,0.428031,0.323954,0.248015,0.086746,0.801761,0.126048,0.368704,0.279821,0.351475,0.059283,0.794741,0.120555,0.000000,0.000000,0.000000,0.000000,0.000000
28,C3_broad_1to1,0.015857,0.015857,0.000000,0.000000,0.015857,0.000000,0.000000,0.062036,0.062036,0.429004,0.326851,0.244145,0.089574,0.802351,0.125435,0.368400,0.276347,0.355254,0.062076,0.791410,0.122037,0.000000,0.000000,0.000000,0.000000,0.000000
29,C3_broad_1to1,0.016284,0.016284,0.000000,0.000000,0.016284,0.000000,0.000000,0.064812,0.064812,0.428478,0.325133,0.246388,0.093256,0.807966,0.122484,0.366326,0.278938,0.354735,0.064857,0.790232,0.125056,0.000000,0.000000,0.000000,0.000000,0.000000
30,C3_broad_1to1,0.015148,0.015148,0.000000,0.000000,0.015148,0.000000,0.000000,0.067550,0.067550,0.429487,0.323078,0.247436,0.096856,0.813025,0.121372,0.370266,0.277062,0.352673,0.067675,0.792465,0.120074,0.000000,0.000000,0.000000,0.000000,0.000000
31,C3_broad_1to1,0.014827,0.014827,0.000000,0.000000,0.014827,0.000000,0.000000,0.070238,0.070238,0.429707,0.322096,0.248197,0.100639,0.811830,0.122400,0.365851,0.277700,0.356450,0.070444,0.786888,0.123177,0.000000,0.000000,0.000000,0.000000,0.000000
32,C3_broad_1to1,0.015609,0.015609,0.000000,0.000000,0.015609,0.000000,0.000000,0.072866,0.072866,0.428823,0.326392,0.244784,0.102498,0.811558,0.123449,0.361912,0.280118,0.357970,0.072989,0.785912,0.121218,0.000000,0.000000,0.000000,0.000000,0.000000
33,C3_broad_1to1,0.015907,0.015907,0.000000,0.000000,0.015907,0.000000,0.000000,0.075424,0.075424,0.428944,0.324146,0.246911,0.106950,0.814096,0.120809,0.361728,0.281921,0.356351,0.075540,0.788274,0.119314,0.000000,0.000000,0.000000,0.000000,0.000000
34,C3_broad_1to1,0.014129,0.014129,0.000000,0.000000,0.014129,0.000000,0.000000,0.077901,0.077901,0.429472,0.326493,0.244035,0.108757,0.815992,0.119876,0.363468,0.281411,0.355122,0.078048,0.787455,0.119964,0.000000,0.000000,0.000000,0.000000,0.000000
35,C3_broad_1to1,0.012847,0.012847,0.000000,0.000000,0.012847,0.000000,0.000000,0.080287,0.080287,0.429487,0.326420,0.244093,0.111508,0.814306,0.122586,0.367461,0.280960,0.351579,0.080380,0.787173,0.122152,0.000000,0.000000,0.000000,0.000000,0.000000
36,C3_broad_1to1,0.014237,0.014237,0.000000,0.000000,0.014237,0.000000,0.000000,0.082574,0.082574,0.427872,0.326854,0.245274,0.117242,0.814951,0.121847,0.370876,0.279354,0.349769,0.082640,0.788010,0.123389,0.000000,0.000000,0.000000,0.000000,0.000000
37,C3_broad_1to1,0.013613,0.013613,0.000000,0.000000,0.013613,0.000000,0.000000,0.084752,0.084752,0.428231,0.326599,0.245170,0.120357,0.819198,0.119454,0.369865,0.281370,0.348765,0.084986,0.788521,0.120729,0.000000,0.000000,0.000000,0.000000,0.000000
38,C3_broad_1to1,0.014601,0.014601,0.000000,0.000000,0.014601,0.000000,0.000000,0.086813,0.086813,0.428853,0.326096,0.245051,0.123265,0.819012,0.119335,0.365951,0.283067,0.350983,0.086999,0.790136,0.119557,0.000000,0.000000,0.000000,0.000000,0.000000
39,C3_broad_1to1,0.013390,0.013390,0.000000,0.000000,0.013390,0.000000,0.000000,0.088748,0.088748,0.430338,0.323515,0.246147,0.125723,0.819806,0.118948,0.367829,0.284451,0.347720,0.088996,0.795077,0.119846,0.000000,0.000000,0.000000,0.000000,0.000000
