epoch,S,Fw,E,MAE
30,0.8423,0.7714,0.9080,0.0627
35,0.8496,0.7729,0.9107,0.0651
40,0.8426,0.7712,0.9057,0.0636
45,0.8373,0.7726,0.9072,0.0619
50,0.8442,0.7821,0.9104,0.0611
55,0.8435,0.7811,0.9104,0.0607
60,0.8416,0.7796,0.9072,0.0617
65,0.8346,0.7705,0.9045,0.0650
70,0.8419,0.7805,0.9054,0.0621
75,0.8442,0.7837,0.9130,0.0598
80,0.8421,0.7841,0.9089,0.0628
85,0.8405,0.7816,0.9066,0.0624
90,0.8405,0.7812,0.9084,0.0619
95,0.8384,0.7787,0.9034,0.0629
100,0.8365,0.7779,0.9059,0.0628
105,0.8363,0.7788,0.8999,0.0635
110,0.8332,0.7742,0.9036,0.0636
115,0.8333,0.7748,0.9027,0.0633
120,0.8406,0.7875,0.9089,0.0619
125,0.8399,0.7850,0.9092,0.0609
130,0.8374,0.7824,0.9085,0.0610
135,0.8355,0.7806,0.9063,0.0618
140,0.8376,0.7834,0.9080,0.0612
145,0.8361,0.7816,0.9069,0.0617
150,0.8373,0.7830,0.9072,0.0613
