epoch,S,Fw,E,MAE
30,0.8551,0.7360,0.9295,0.0286
35,0.8520,0.7288,0.9276,0.0291
40,0.8572,0.7406,0.9314,0.0282
45,0.8589,0.7536,0.9326,0.0265
50,0.8581,0.7517,0.9326,0.0269
55,0.8573,0.7527,0.9308,0.0276
60,0.8582,0.7554,0.9316,0.0267
65,0.8588,0.7553,0.9330,0.0270
70,0.8611,0.7577,0.9312,0.0266
75,0.8616,0.7596,0.9336,0.0258
80,0.8614,0.7617,0.9329,0.0262
85,0.8598,0.7604,0.9337,0.0261
90,0.8614,0.7647,0.9343,0.0260
95,0.8598,0.7611,0.9318,0.0261
100,0.8615,0.7638,0.9339,0.0256
105,0.8589,0.7643,0.9332,0.0257
110,0.8589,0.7651,0.9310,0.0257
115,0.8614,0.7688,0.9342,0.0252
120,0.8588,0.7658,0.9311,0.0259
125,0.8619,0.7700,0.9348,0.0250
130,0.8613,0.7699,0.9344,0.0250
135,0.8612,0.7691,0.9338,0.0251
140,0.8613,0.7697,0.9335,0.0250
145,0.8613,0.7704,0.9339,0.0250
150,0.8609,0.7693,0.9336,0.0251
