epoch,stage,total,bce
1,C3_broad_1to1,0.434198,0.434198
2,C3_broad_1to1,0.259648,0.259648
3,C3_broad_1to1,0.175804,0.175804
4,C3_broad_1to1,0.126754,0.126754
5,C3_broad_1to1,0.093410,0.093410
6,C3_broad_1to1,0.072650,0.072650
7,C3_broad_1to1,0.064675,0.064675
8,C3_broad_1to1,0.052597,0.052597
9,C3_broad_1to1,0.047013,0.047013
10,C3_broad_1to1,0.040906,0.040906
11,C3_broad_1to1,0.038626,0.038626
12,C3_broad_1to1,0.036741,0.036741
13,C3_broad_1to1,0.034513,0.034513
14,C3_broad_1to1,0.031249,0.031249
15,C3_broad_1to1,0.028179,0.028179
16,C3_broad_1to1,0.027664,0.027664
17,C3_broad_1to1,0.025739,0.025739
18,C3_broad_1to1,0.025280,0.025280
19,C3_broad_1to1,0.024251,0.024251
20,C3_broad_1to1,0.023878,0.023878
21,C3_broad_1to1,0.023308,0.023308
22,C3_broad_1to1,0.022416,0.022416
23,C3_broad_1to1,0.022445,0.022445
24,C3_broad_1to1,0.022159,0.022159
25,C3_broad_1to1,0.020356,0.020356
26,C3_broad_1to1,0.019909,0.019909
27,C3_broad_1to1,0.019803,0.019803
28,C3_broad_1to1,0.019011,0.019011
29,C3_broad_1to1,0.020713,0.020713
30,C3_broad_1to1,0.020770,0.020770
31,C3_broad_1to1,0.018548,0.018548
32,C3_broad_1to1,0.018182,0.018182
33,C3_broad_1to1,0.017814,0.017814
34,C3_broad_1to1,0.017953,0.017953
35,C3_broad_1to1,0.018218,0.018218
36,C3_broad_1to1,0.019765,0.019765
37,C3_broad_1to1,0.017763,0.017763
38,C3_broad_1to1,0.016741,0.016741
39,C3_broad_1to1,0.016531,0.016531
40,C3_broad_1to1,0.016646,0.016646
41,C3_broad_1to1,0.015999,0.015999
42,C3_broad_1to1,0.015019,0.015019
43,C3_broad_1to1,0.015542,0.015542
44,C3_broad_1to1,0.016215,0.016215
45,C3_broad_1to1,0.015036,0.015036
46,C3_broad_1to1,0.015153,0.015153
47,C3_broad_1to1,0.015854,0.015854
48,C3_broad_1to1,0.015170,0.015170
49,C3_broad_1to1,0.015619,0.015619
50,C3_broad_1to1,0.014692,0.014692
51,C3_broad_1to1,0.014640,0.014640
52,C3_broad_1to1,0.015300,0.015300
53,C3_broad_1to1,0.019849,0.019849
54,C3_broad_1to1,0.015034,0.015034
55,C3_broad_1to1,0.014314,0.014314
56,C3_broad_1to1,0.013720,0.013720
57,C3_broad_1to1,0.014679,0.014679
58,C3_broad_1to1,0.014077,0.014077
59,C3_broad_1to1,0.014355,0.014355
60,C3_broad_1to1,0.013604,0.013604
61,C3_anneal,0.013964,0.013964
62,C3_anneal,0.013470,0.013470
63,C3_anneal,0.013214,0.013214
64,C3_anneal,0.013513,0.013513
65,C3_anneal,0.013584,0.013584
66,C3_anneal,0.013428,0.013428
67,C3_anneal,0.012819,0.012819
68,C3_anneal,0.013179,0.013179
69,C3_anneal,0.013598,0.013598
70,C3_anneal,0.012916,0.012916
71,C3_anneal,0.012738,0.012738
72,C3_anneal,0.012836,0.012836
73,C3_anneal,0.012783,0.012783
74,C3_anneal,0.012922,0.012922
75,C3_anneal,0.012445,0.012445
76,C3_anneal,0.012701,0.012701
77,C3_anneal,0.012207,0.012207
78,C3_anneal,0.011565,0.011565
79,C3_anneal,0.012695,0.012695
80,C3_anneal,0.012339,0.012339
81,C3_anneal,0.019497,0.019497
82,C3_anneal,0.012472,0.012472
83,C3_anneal,0.012042,0.012042
84,C3_anneal,0.011805,0.011805
85,C3_anneal,0.011567,0.011567
86,C3_anneal,0.011911,0.011911
87,C3_anneal,0.011506,0.011506
88,C3_anneal,0.011870,0.011870
89,C3_anneal,0.011966,0.011966
90,C3_anneal,0.011297,0.011297
91,C3_anneal,0.011230,0.011230
92,C3_anneal,0.011567,0.011567
93,C3_anneal,0.011918,0.011918
94,C3_anneal,0.011219,0.011219
95,C3_anneal,0.011873,0.011873
96,C3_anneal,0.011537,0.011537
97,C3_anneal,0.011165,0.011165
98,C3_anneal,0.010885,0.010885
99,C3_anneal,0.010673,0.010673
100,C3_anneal,0.011171,0.011171
101,C3_anneal,0.010893,0.010893
102,C3_anneal,0.010646,0.010646
103,C3_anneal,0.011691,0.011691
104,C3_anneal,0.010680,0.010680
105,C3_anneal,0.010284,0.010284
106,C3_anneal,0.012567,0.012567
107,C3_anneal,0.010974,0.010974
108,C3_anneal,0.010554,0.010554
109,C3_anneal,0.009884,0.009884
110,C3_anneal,0.009757,0.009757
111,C3_anneal,0.009888,0.009888
112,C3_anneal,0.009904,0.009904
113,C3_anneal,0.010081,0.010081
114,C3_anneal,0.010022,0.010022
115,C3_anneal,0.009351,0.009351
116,C3_anneal,0.010519,0.010519
117,C3_anneal,0.009819,0.009819
118,C3_anneal,0.009423,0.009423
119,C3_anneal,0.009617,0.009617
120,C3_anneal,0.009421,0.009421
121,C3_anneal,0.009124,0.009124
122,C3_anneal,0.008902,0.008902
