epoch,S,Fw,E,MAE
30,0.8519,0.7595,0.9102,0.0663
35,0.8471,0.7512,0.9086,0.0678
40,0.8509,0.7666,0.9096,0.0634
45,0.8439,0.7605,0.9064,0.0651
50,0.8491,0.7708,0.9116,0.0637
55,0.8444,0.7685,0.9063,0.0643
60,0.8438,0.7694,0.9048,0.0645
65,0.8396,0.7985,0.9085,0.0587
70,0.8400,0.8025,0.9102,0.0599
75,0.8306,0.7891,0.9036,0.0616
80,0.8341,0.7953,0.9073,0.0614
85,0.8316,0.7919,0.9041,0.0621
90,0.8350,0.7949,0.9056,0.0601
95,0.8314,0.7922,0.9015,0.0615
100,0.8280,0.7827,0.8960,0.0625
105,0.8380,0.8006,0.9082,0.0603
110,0.8373,0.8011,0.9090,0.0593
115,0.8352,0.7965,0.9052,0.0607
120,0.8356,0.7960,0.9058,0.0598
125,0.8349,0.7968,0.9036,0.0611
130,0.8358,0.7982,0.9053,0.0607
135,0.8349,0.7972,0.9056,0.0603
140,0.8349,0.7962,0.9053,0.0604
145,0.8345,0.7967,0.9042,0.0606
150,0.8353,0.7976,0.9045,0.0606
