epoch,S,Fw,E,MAE
30,0.8396,0.6532,0.9299,0.0366
35,0.8376,0.6540,0.9319,0.0360
40,0.8467,0.6824,0.9344,0.0323
45,0.8429,0.6760,0.9312,0.0340
50,0.8412,0.6744,0.9272,0.0351
55,0.8471,0.6919,0.9342,0.0308
60,0.8508,0.7044,0.9340,0.0301
65,0.8565,0.7813,0.9347,0.0258
70,0.8578,0.7819,0.9364,0.0252
75,0.8562,0.7828,0.9332,0.0249
80,0.8577,0.7811,0.9332,0.0255
85,0.8580,0.7860,0.9348,0.0249
90,0.8578,0.7848,0.9347,0.0247
95,0.8582,0.7869,0.9354,0.0248
100,0.8531,0.7789,0.9300,0.0256
105,0.8560,0.7795,0.9308,0.0261
110,0.8544,0.7812,0.9292,0.0264
115,0.8557,0.7808,0.9304,0.0259
120,0.8554,0.7832,0.9330,0.0252
125,0.8573,0.7851,0.9333,0.0255
130,0.8569,0.7846,0.9329,0.0257
135,0.8570,0.7848,0.9329,0.0256
140,0.8567,0.7844,0.9329,0.0256
145,0.8567,0.7843,0.9330,0.0256
150,0.8571,0.7843,0.9331,0.0257
