epoch,stage,total,bce
1,C3_broad_1to1,0.757924,0.458322
2,C3_broad_1to1,0.468012,0.282405
3,C3_broad_1to1,0.327887,0.199455
4,C3_broad_1to1,0.252287,0.151487
5,C3_broad_1to1,0.205773,0.121767
6,C3_broad_1to1,0.176549,0.101486
7,C3_broad_1to1,0.167217,0.094085
8,C3_broad_1to1,0.155180,0.085162
9,C3_broad_1to1,0.143641,0.077914
10,C3_broad_1to1,0.137954,0.073694
11,C3_broad_1to1,0.134061,0.070915
12,C3_broad_1to1,0.128215,0.066462
13,C3_broad_1to1,0.124046,0.064139
14,C3_broad_1to1,0.120723,0.062149
15,C3_broad_1to1,0.115304,0.058234
16,C3_broad_1to1,0.111487,0.056339
17,C3_broad_1to1,0.106828,0.053874
18,C3_broad_1to1,0.106899,0.054036
19,C3_broad_1to1,0.101417,0.050292
20,C3_broad_1to1,0.100905,0.049968
21,C3_broad_1to1,0.102556,0.051254
22,C3_broad_1to1,0.098818,0.049344
23,C3_broad_1to1,0.096813,0.048052
24,C3_broad_1to1,0.094861,0.047275
25,C3_broad_1to1,0.091994,0.045190
26,C3_broad_1to1,0.091242,0.044646
27,C3_broad_1to1,0.090954,0.045031
28,C3_broad_1to1,0.086282,0.042588
29,C3_broad_1to1,0.087588,0.043334
30,C3_broad_1to1,0.088037,0.043406
31,C3_broad_1to1,0.086681,0.042641
32,C3_broad_1to1,0.086956,0.042900
33,C3_broad_1to1,0.082830,0.040905
34,C3_broad_1to1,0.079939,0.039272
35,C3_broad_1to1,0.081219,0.040330
36,C3_broad_1to1,0.080269,0.039787
37,C3_broad_1to1,0.080399,0.039385
38,C3_broad_1to1,0.077125,0.038138
39,C3_broad_1to1,0.076612,0.037744
40,C3_broad_1to1,0.076048,0.037275
41,C3_broad_1to1,0.075970,0.037492
42,C3_broad_1to1,0.074413,0.035999
43,C3_broad_1to1,0.076931,0.037700
44,C3_broad_1to1,0.073068,0.036280
45,C3_broad_1to1,0.071080,0.034574
46,C3_broad_1to1,0.072529,0.035279
47,C3_broad_1to1,0.069442,0.033561
48,C3_broad_1to1,0.069195,0.033452
49,C3_broad_1to1,0.070248,0.034777
50,C3_broad_1to1,0.070409,0.034582
51,C3_broad_1to1,0.069004,0.033140
52,C3_broad_1to1,0.069573,0.034028
53,C3_broad_1to1,0.067848,0.033491
54,C3_broad_1to1,0.067925,0.033551
55,C3_broad_1to1,0.067490,0.033107
56,C3_broad_1to1,0.064430,0.030809
57,C3_broad_1to1,0.068444,0.033385
58,C3_broad_1to1,0.065781,0.032943
59,C3_broad_1to1,0.065717,0.032450
60,C3_broad_1to1,0.064871,0.031611
61,C3_anneal,0.182097,0.046976
62,C3_anneal,0.163442,0.049861
63,C3_anneal,0.157619,0.051187
64,C3_anneal,0.154892,0.049734
65,C3_anneal,0.155460,0.052006
66,C3_anneal,0.149078,0.054972
67,C3_anneal,0.154113,0.055751
68,C3_anneal,0.146985,0.055867
69,C3_anneal,0.143200,0.056354
70,C3_anneal,0.141237,0.057736
71,C3_anneal,0.138147,0.058120
72,C3_anneal,0.141658,0.060789
73,C3_anneal,0.134968,0.058352
74,C3_anneal,0.140206,0.059809
75,C3_anneal,0.142420,0.062650
76,C3_anneal,0.132508,0.059844
77,C3_anneal,0.129765,0.061773
78,C3_anneal,0.135656,0.059036
79,C3_anneal,0.134594,0.061363
80,C3_anneal,0.134361,0.061404
81,C3_anneal,0.132093,0.063783
82,C3_anneal,0.130361,0.060573
83,C3_anneal,0.130000,0.061707
84,C3_anneal,0.127068,0.064895
85,C3_anneal,0.126292,0.060167
86,C3_anneal,0.125392,0.062069
87,C3_anneal,0.125736,0.060609
88,C3_anneal,0.123047,0.059911
89,C3_anneal,0.125665,0.063173
90,C3_anneal,0.120724,0.060311
91,C3_anneal,0.118889,0.058860
92,C3_anneal,0.121424,0.061618
93,C3_anneal,0.118384,0.059765
94,C3_anneal,0.117082,0.058449
95,C3_anneal,0.114068,0.054916
96,C3_anneal,0.121360,0.057586
97,C3_anneal,0.116194,0.058446
98,C3_anneal,0.115699,0.057946
99,C3_anneal,0.115855,0.057153
100,C3_anneal,0.113723,0.060571
101,C3_anneal,0.115570,0.054569
102,C3_anneal,0.114272,0.054363
103,C3_anneal,0.106476,0.052491
104,C3_anneal,0.107871,0.055778
105,C3_anneal,0.112594,0.052312
106,C3_anneal,0.108019,0.051788
107,C3_anneal,0.104109,0.047640
108,C3_anneal,0.100166,0.047466
109,C3_anneal,0.101314,0.047914
110,C3_anneal,0.099398,0.045916
111,C3_anneal,0.097768,0.042108
112,C3_anneal,0.097500,0.043580
113,C3_anneal,0.097837,0.043282
114,C3_anneal,0.095371,0.043446
115,C3_anneal,0.096509,0.041041
116,C3_anneal,0.092106,0.040123
117,C3_anneal,0.092701,0.039686
118,C3_anneal,0.091637,0.038866
119,C3_anneal,0.090918,0.039557
120,C3_anneal,0.086380,0.035837
121,C3_anneal,0.085796,0.034568
122,C3_anneal,0.085830,0.033512
123,C3_anneal,0.082105,0.033323
124,C3_anneal,0.082775,0.032663
125,C3_anneal,0.078679,0.031763
126,C3_anneal,0.079443,0.031106
127,C3_anneal,0.079329,0.031070
128,C3_anneal,0.077988,0.031432
129,C3_anneal,0.076884,0.030243
130,C3_anneal,0.079506,0.030243
131,C3_reliable_0p3,0.081321,0.031107
132,C3_reliable_0p3,0.077935,0.031754
133,C3_reliable_0p3,0.076210,0.030674
134,C3_reliable_0p3,0.076594,0.030556
135,C3_reliable_0p3,0.078835,0.030362
136,C3_reliable_0p3,0.075676,0.030072
137,C3_reliable_0p3,0.079416,0.030577
138,C3_reliable_0p3,0.079476,0.031039
139,C3_reliable_0p3,0.079307,0.031062
140,C3_reliable_0p3,0.077260,0.029864
141,C3_reliable_0p3,0.076013,0.030463
142,C3_reliable_0p3,0.076687,0.030386
143,C3_reliable_0p3,0.075791,0.029284
144,C3_reliable_0p3,0.077480,0.030433
145,C3_reliable_0p3,0.076935,0.029574
146,C3_reliable_0p3,0.074277,0.029813
147,C3_reliable_0p3,0.078899,0.029633
148,C3_reliable_0p3,0.074727,0.029567
149,C3_reliable_0p3,0.075982,0.028815
150,C3_reliable_0p3,0.078867,0.030245
