epoch,S,Fw,E,MAE
30,0.8437,0.7629,0.9002,0.0705
35,0.8342,0.7591,0.8971,0.0712
40,0.8453,0.7753,0.9064,0.0672
45,0.8465,0.7809,0.9052,0.0665
50,0.8489,0.7873,0.9069,0.0663
55,0.8409,0.7812,0.9058,0.0674
60,0.8387,0.7782,0.8972,0.0681
65,0.8323,0.7755,0.8976,0.0675
70,0.8369,0.7772,0.8985,0.0685
75,0.8529,0.8037,0.9139,0.0626
80,0.8382,0.7888,0.9018,0.0662
85,0.8447,0.7999,0.9104,0.0636
90,0.8454,0.7993,0.9093,0.0635
95,0.8397,0.7946,0.9070,0.0637
100,0.8390,0.7939,0.9036,0.0649
105,0.8362,0.7924,0.9038,0.0665
110,0.8449,0.8017,0.9048,0.0613
115,0.8412,0.7950,0.9029,0.0646
120,0.8385,0.7900,0.9004,0.0648
125,0.8405,0.7952,0.9059,0.0633
130,0.8411,0.7968,0.9050,0.0626
135,0.8404,0.7961,0.9054,0.0629
140,0.8413,0.7978,0.9069,0.0625
145,0.8424,0.7994,0.9074,0.0620
150,0.8414,0.7981,0.9052,0.0630
