epoch,S,Fw,E,MAE
30,0.8593,0.7122,0.9380,0.0307
35,0.8571,0.7188,0.9362,0.0302
40,0.8624,0.7325,0.9378,0.0291
45,0.8644,0.7418,0.9404,0.0278
50,0.8686,0.7566,0.9413,0.0269
55,0.8568,0.7422,0.9308,0.0291
60,0.8666,0.7700,0.9380,0.0271
65,0.8691,0.7863,0.9390,0.0252
70,0.8730,0.7867,0.9405,0.0261
75,0.8731,0.7891,0.9401,0.0255
80,0.8724,0.7960,0.9401,0.0250
85,0.8747,0.8000,0.9437,0.0241
90,0.8774,0.8054,0.9441,0.0237
95,0.8741,0.8048,0.9408,0.0247
100,0.8721,0.8003,0.9369,0.0250
105,0.8750,0.8065,0.9408,0.0241
110,0.8760,0.8087,0.9411,0.0238
115,0.8742,0.8075,0.9398,0.0239
120,0.8743,0.8063,0.9397,0.0235
125,0.8768,0.8111,0.9421,0.0229
130,0.8768,0.8117,0.9425,0.0227
135,0.8765,0.8118,0.9422,0.0230
140,0.8769,0.8126,0.9426,0.0229
145,0.8770,0.8122,0.9426,0.0229
150,0.8767,0.8120,0.9424,0.0231
