epoch,stage,total,bce,nc,q,anchor,consistency,consistency_weight,csr_alpha,csr_gate,p3_residual_ratio,p4_residual_ratio,pixel_reliability,q_max,q_min,sample_reliability,scale_loss
1,C3_broad_1to1,0.701943,0.411192,0.290751,2.000000,0.411192,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978126,2.000000,2.000000,0.500000,0.000000
2,C3_broad_1to1,0.422865,0.241924,0.180941,2.000000,0.241924,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978124,2.000000,2.000000,0.500000,0.000000
3,C3_broad_1to1,0.277018,0.157005,0.120012,2.000000,0.157005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977808,2.000000,2.000000,0.500000,0.000000
4,C3_broad_1to1,0.199178,0.108981,0.090197,2.000000,0.108981,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978058,2.000000,2.000000,0.500000,0.000000
5,C3_broad_1to1,0.153135,0.080645,0.072490,2.000000,0.080645,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978175,2.000000,2.000000,0.500000,0.000000
6,C3_broad_1to1,0.125166,0.061725,0.063441,2.000000,0.061725,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978013,2.000000,2.000000,0.500000,0.000000
7,C3_broad_1to1,0.111442,0.053118,0.058324,2.000000,0.053118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977677,2.000000,2.000000,0.500000,0.000000
8,C3_broad_1to1,0.097891,0.044163,0.053728,2.000000,0.044163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978120,2.000000,2.000000,0.500000,0.000000
9,C3_broad_1to1,0.088770,0.038542,0.050228,2.000000,0.038542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977928,2.000000,2.000000,0.500000,0.000000
10,C3_broad_1to1,0.082381,0.033906,0.048475,2.000000,0.033906,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977882,2.000000,2.000000,0.500000,0.000000
11,C3_broad_1to1,0.076376,0.030699,0.045676,2.000000,0.030699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977552,2.000000,2.000000,0.500000,0.000000
12,C3_broad_1to1,0.071041,0.027367,0.043675,2.000000,0.027367,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978133,2.000000,2.000000,0.500000,0.000000
13,C3_broad_1to1,0.076813,0.029503,0.047310,2.000000,0.029503,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978030,2.000000,2.000000,0.500000,0.000000
14,C3_broad_1to1,0.068567,0.025824,0.042743,2.000000,0.025824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977843,2.000000,2.000000,0.500000,0.000000
15,C3_broad_1to1,0.060583,0.021565,0.039018,2.000000,0.021565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978402,2.000000,2.000000,0.500000,0.000000
16,C3_broad_1to1,0.060984,0.021607,0.039376,2.000000,0.021607,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978155,2.000000,2.000000,0.500000,0.000000
17,C3_broad_1to1,0.060318,0.020785,0.039533,2.000000,0.020785,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977918,2.000000,2.000000,0.500000,0.000000
18,C3_broad_1to1,0.055948,0.019391,0.036557,2.000000,0.019391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978339,2.000000,2.000000,0.500000,0.000000
19,C3_broad_1to1,0.054935,0.018493,0.036442,2.000000,0.018493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978349,2.000000,2.000000,0.500000,0.000000
20,C3_broad_1to1,0.054397,0.018125,0.036272,2.000000,0.018125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978272,2.000000,2.000000,0.500000,0.000000
21,C3_broad_1to1,0.053387,0.018009,0.035378,2.000000,0.018009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978026,2.000000,2.000000,0.500000,0.000000
22,C3_broad_1to1,0.050573,0.016696,0.033877,2.000000,0.016696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977782,2.000000,2.000000,0.500000,0.000000
23,C3_broad_1to1,0.051731,0.017227,0.034504,1.999986,0.017227,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978152,1.999986,1.999986,0.500000,0.000000
24,C3_broad_1to1,0.048235,0.015730,0.032505,1.999630,0.015730,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978194,1.999630,1.999630,0.500000,0.000000
25,C3_broad_1to1,0.048302,0.015904,0.032398,1.998603,0.015904,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978199,1.998603,1.998603,0.500000,0.000000
26,C3_broad_1to1,0.053833,0.018016,0.035816,1.996896,0.018016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978566,1.996896,1.996896,0.500000,0.000000
27,C3_broad_1to1,0.047171,0.015331,0.031840,1.994512,0.015331,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978080,1.994512,1.994512,0.500000,0.000000
28,C3_broad_1to1,0.044553,0.014336,0.030217,1.991457,0.014336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978407,1.991457,1.991457,0.500000,0.000000
29,C3_broad_1to1,0.046770,0.014953,0.031817,1.987741,0.014953,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978188,1.987741,1.987741,0.500000,0.000000
30,C3_broad_1to1,0.048298,0.015785,0.032513,1.983373,0.015785,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978068,1.983373,1.983373,0.500000,0.000000
31,C3_broad_1to1,0.045213,0.014519,0.030694,1.978366,0.014519,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978209,1.978366,1.978366,0.500000,0.000000
32,C3_broad_1to1,0.043670,0.013890,0.029779,1.972732,0.013890,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978133,1.972732,1.972732,0.500000,0.000000
33,C3_broad_1to1,0.042229,0.013130,0.029100,1.966488,0.013130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978144,1.966488,1.966488,0.500000,0.000000
34,C3_broad_1to1,0.041698,0.012994,0.028704,1.959651,0.012994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978394,1.959651,1.959651,0.500000,0.000000
35,C3_broad_1to1,0.042004,0.013381,0.028624,1.952239,0.013381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978029,1.952239,1.952239,0.500000,0.000000
36,C3_broad_1to1,0.043651,0.013690,0.029961,1.944272,0.013690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978009,1.944272,1.944272,0.500000,0.000000
37,C3_broad_1to1,0.044520,0.013818,0.030702,1.935774,0.013818,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978464,1.935774,1.935774,0.500000,0.000000
38,C3_broad_1to1,0.040296,0.012327,0.027969,1.926766,0.012327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978023,1.926766,1.926766,0.500000,0.000000
39,C3_broad_1to1,0.040748,0.012338,0.028410,1.917273,0.012338,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977990,1.917273,1.917273,0.500000,0.000000
40,C3_broad_1to1,0.040778,0.012105,0.028674,1.907322,0.012105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978174,1.907322,1.907322,0.500000,0.000000
41,C3_broad_1to1,0.038645,0.011229,0.027416,1.896940,0.011229,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978043,1.896940,1.896940,0.500000,0.000000
42,C3_broad_1to1,0.039168,0.011010,0.028158,1.886155,0.011010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978168,1.886155,1.886155,0.500000,0.000000
43,C3_broad_1to1,0.040018,0.011485,0.028533,1.874997,0.011485,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978024,1.874997,1.874997,0.500000,0.000000
