epoch,S,Fw,E,MAE
30,0.8271,0.7472,0.8935,0.0708
35,0.8221,0.7445,0.8977,0.0697
40,0.7923,0.7053,0.8804,0.0788
45,0.7955,0.7165,0.8864,0.0789
50,0.8026,0.7205,0.8809,0.0756
55,0.7936,0.7107,0.8844,0.0766
60,0.7922,0.7063,0.8820,0.0783
65,0.8107,0.7407,0.8956,0.0724
70,0.8409,0.7832,0.9145,0.0598
75,0.8559,0.8040,0.9253,0.0544
80,0.8567,0.8108,0.9264,0.0515
85,0.8531,0.8047,0.9191,0.0531
90,0.8540,0.8098,0.9216,0.0537
95,0.8569,0.8116,0.9224,0.0530
100,0.8571,0.8087,0.9209,0.0533
105,0.8574,0.8105,0.9187,0.0531
110,0.8586,0.8150,0.9213,0.0518
115,0.8514,0.8007,0.9105,0.0569
120,0.8510,0.8030,0.9130,0.0571
125,0.8532,0.8071,0.9188,0.0555
130,0.8555,0.8074,0.9173,0.0554
135,0.8542,0.8067,0.9171,0.0556
140,0.8552,0.8078,0.9189,0.0552
145,0.8542,0.8052,0.9148,0.0557
150,0.8552,0.8058,0.9161,0.0556
