epoch,S,Fw,E,MAE
30,0.8552,0.7347,0.9289,0.0289
35,0.8514,0.7331,0.9253,0.0300
40,0.8423,0.7226,0.9211,0.0308
45,0.8545,0.7487,0.9310,0.0279
50,0.8536,0.7428,0.9280,0.0279
55,0.8499,0.7419,0.9284,0.0282
60,0.8427,0.7350,0.9244,0.0285
65,0.8516,0.7524,0.9323,0.0274
70,0.8503,0.7482,0.9275,0.0265
75,0.8646,0.7714,0.9385,0.0242
80,0.8594,0.7678,0.9343,0.0244
85,0.8629,0.7738,0.9368,0.0243
90,0.8612,0.7740,0.9351,0.0241
95,0.8634,0.7750,0.9366,0.0240
100,0.8627,0.7696,0.9368,0.0250
105,0.8603,0.7710,0.9348,0.0256
110,0.8604,0.7726,0.9349,0.0253
115,0.8571,0.7658,0.9303,0.0270
120,0.8550,0.7626,0.9272,0.0278
125,0.8590,0.7687,0.9307,0.0267
130,0.8584,0.7671,0.9298,0.0272
135,0.8587,0.7682,0.9303,0.0269
140,0.8606,0.7711,0.9336,0.0260
145,0.8593,0.7699,0.9313,0.0265
150,0.8596,0.7674,0.9323,0.0266
