epoch,S,Fw,E,MAE
30,0.8500,0.7789,0.9205,0.0616
35,0.8508,0.7858,0.9220,0.0607
40,0.8482,0.7829,0.9173,0.0601
45,0.8398,0.7779,0.9126,0.0621
50,0.8465,0.7817,0.9173,0.0609
55,0.8411,0.7791,0.9081,0.0609
60,0.8411,0.7805,0.9131,0.0598
65,0.8301,0.7719,0.9068,0.0643
70,0.8237,0.7643,0.8916,0.0661
75,0.8341,0.7775,0.8956,0.0630
80,0.8287,0.7735,0.9004,0.0633
85,0.8102,0.7383,0.8713,0.0717
90,0.8102,0.7418,0.8767,0.0699
95,0.8193,0.7533,0.8865,0.0690
100,0.8331,0.7780,0.9050,0.0606
105,0.8306,0.7753,0.9023,0.0614
110,0.8256,0.7664,0.8946,0.0633
115,0.8267,0.7650,0.8971,0.0651
120,0.8271,0.7680,0.8944,0.0631
125,0.8273,0.7695,0.8955,0.0631
130,0.8259,0.7681,0.8949,0.0637
135,0.8273,0.7696,0.8958,0.0630
140,0.8274,0.7709,0.8967,0.0631
145,0.8285,0.7721,0.8984,0.0627
150,0.8275,0.7712,0.8977,0.0631
