epoch,S,Fw,E,MAE
30,0.8586,0.7410,0.9326,0.0285
35,0.8613,0.7548,0.9350,0.0269
40,0.8579,0.7498,0.9305,0.0275
45,0.8620,0.7616,0.9366,0.0259
50,0.8601,0.7518,0.9328,0.0271
55,0.8611,0.7629,0.9348,0.0257
60,0.8617,0.7686,0.9363,0.0245
65,0.8569,0.7657,0.9328,0.0255
70,0.8586,0.7722,0.9348,0.0247
75,0.8591,0.7731,0.9323,0.0251
80,0.8582,0.7713,0.9317,0.0250
85,0.8537,0.7617,0.9281,0.0264
90,0.8560,0.7704,0.9311,0.0252
95,0.8575,0.7685,0.9319,0.0254
100,0.8560,0.7700,0.9320,0.0254
105,0.8552,0.7697,0.9326,0.0252
110,0.8534,0.7670,0.9301,0.0259
115,0.8583,0.7697,0.9320,0.0255
120,0.8551,0.7645,0.9276,0.0256
125,0.8554,0.7673,0.9288,0.0253
130,0.8559,0.7683,0.9291,0.0252
135,0.8568,0.7689,0.9297,0.0251
140,0.8566,0.7688,0.9299,0.0253
145,0.8577,0.7704,0.9308,0.0250
150,0.8571,0.7704,0.9303,0.0250
