epoch,stage,total,bce,aux_p3,aux_p3_weight,clean_iou,unvalue_accepted,unvalue_batch_count,unvalue_consistency,unvalue_dynamic,unvalue_dynamic_weight,unvalue_out,unvalue_out_weight,unvalue_reliable_pixel
1,mask_warmup,0.286187,0.211723,0.000000,0.000000,0.744644,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,mask_warmup,0.186244,0.128575,0.000000,0.000000,0.576697,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,mask_warmup,0.148595,0.102425,0.000000,0.000000,0.461700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,mask_warmup,0.116134,0.078819,0.000000,0.000000,0.373149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,mask_warmup,0.101455,0.070052,0.000000,0.000000,0.314025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,mask_warmup,0.094313,0.067328,0.000000,0.000000,0.269857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,mask_warmup,0.085125,0.060450,0.000000,0.000000,0.246757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,mask_warmup,0.074554,0.052418,0.000000,0.000000,0.221352,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,mask_warmup,0.071417,0.051284,0.000000,0.000000,0.201329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,mask_warmup,0.068709,0.049982,0.000000,0.000000,0.187275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,mask_warmup,0.065490,0.047881,0.000000,0.000000,0.176092,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,mask_warmup,0.060524,0.043356,0.000000,0.000000,0.171684,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,mask_warmup,0.056465,0.040275,0.000000,0.000000,0.161903,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,mask_warmup,0.053198,0.038300,0.000000,0.000000,0.148978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,mask_warmup,0.052394,0.037929,0.000000,0.000000,0.144650,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,mask_warmup,0.052275,0.038141,0.000000,0.000000,0.141343,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,mask_warmup,0.050119,0.036294,0.000000,0.000000,0.138250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,mask_warmup,0.050636,0.036842,0.000000,0.000000,0.137936,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,mask_warmup,0.047224,0.033714,0.000000,0.000000,0.135103,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,mask_warmup,0.049174,0.035811,0.000000,0.000000,0.133626,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21,mask_warmup,0.045287,0.032602,0.000000,0.000000,0.126846,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,mask_warmup,0.043958,0.031595,0.000000,0.000000,0.123628,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23,mask_warmup,0.042258,0.030551,0.000000,0.000000,0.117071,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24,mask_warmup,0.041803,0.030302,0.000000,0.000000,0.115011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
25,mask_warmup,0.041609,0.030031,0.000000,0.000000,0.115781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26,mask_warmup,0.041181,0.029794,0.000000,0.000000,0.113874,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
27,mask_warmup,0.040882,0.029267,0.000000,0.000000,0.116151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
28,mask_warmup,0.037287,0.026335,0.000000,0.000000,0.109520,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29,mask_warmup,0.037269,0.026262,0.000000,0.000000,0.110063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,mask_warmup,0.037570,0.026859,0.000000,0.000000,0.107115,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
31,mask_warmup,0.037920,0.027377,0.000000,0.000000,0.105428,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
32,mask_warmup,0.037818,0.027059,0.000000,0.000000,0.107587,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
33,mask_warmup,0.035343,0.024961,0.000000,0.000000,0.103820,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
34,mask_warmup,0.037860,0.027718,0.000000,0.000000,0.101421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
35,mask_warmup,0.035558,0.025732,0.000000,0.000000,0.098263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
36,mask_warmup,0.033313,0.023471,0.000000,0.000000,0.098417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
37,mask_warmup,0.033811,0.024019,0.000000,0.000000,0.097924,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
38,mask_warmup,0.034349,0.024639,0.000000,0.000000,0.097104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
39,mask_warmup,0.033581,0.023992,0.000000,0.000000,0.095892,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40,mask_warmup,0.033479,0.023909,0.000000,0.000000,0.095702,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
41,box_introduction,0.033607,0.023219,0.000000,0.000000,0.090811,0.877228,1.000000,0.000276,0.136254,0.000000,0.022417,0.000410,0.790677
42,box_introduction,0.033071,0.022434,0.000000,0.000000,0.092114,0.895050,1.000000,0.000307,0.121138,0.000000,0.041092,0.002859,0.777209
43,box_introduction,0.033643,0.022875,0.000000,0.000000,0.092824,0.885149,1.000000,0.000481,0.124438,0.000000,0.021084,0.007701,0.765597
44,box_introduction,0.032747,0.021707,0.000000,0.000000,0.094392,0.873267,1.000000,0.000497,0.133712,0.000000,0.018082,0.014815,0.787190
45,box_introduction,0.032055,0.021318,0.000000,0.000000,0.091593,0.853465,1.000000,0.000218,0.131272,0.000000,0.011206,0.024027,0.785886
46,box_introduction,0.032803,0.022504,0.000000,0.000000,0.087423,0.841584,1.000000,0.000525,0.131107,0.000000,0.008807,0.035110,0.798565
47,box_introduction,0.032301,0.021530,0.000000,0.000000,0.091067,0.853465,1.000000,0.000423,0.137235,0.000000,0.007594,0.047791,0.793681
48,box_introduction,0.031638,0.021090,0.000000,0.000000,0.087588,0.849505,1.000000,0.000331,0.123642,0.000000,0.008710,0.061757,0.801324
49,box_introduction,0.031364,0.021144,0.000000,0.000000,0.086590,0.829703,1.000000,0.000685,0.132311,0.000000,0.004234,0.076664,0.802548
50,box_introduction,0.033010,0.022385,0.000000,0.000000,0.087715,0.825743,1.000000,0.000643,0.146627,0.000000,0.006569,0.092147,0.804181
51,box_introduction,0.030837,0.020728,0.000000,0.000000,0.086415,0.821782,1.000000,0.000166,0.119222,0.000000,0.002168,0.107822,0.814383
52,box_introduction,0.031260,0.021071,0.000000,0.000000,0.086854,0.849505,1.000000,0.000333,0.133834,0.000000,0.002135,0.123305,0.814238
53,box_introduction,0.029858,0.019935,0.000000,0.000000,0.084560,0.827723,1.000000,0.000134,0.114786,0.000000,0.001883,0.138215,0.811877
54,box_introduction,0.029412,0.019817,0.000000,0.000000,0.081225,0.801980,1.000000,0.000143,0.125400,0.000000,0.002065,0.152183,0.820692
55,box_introduction,0.029803,0.020026,0.000000,0.000000,0.083687,0.831683,1.000000,0.000185,0.107187,0.000000,0.001304,0.164866,0.830452
56,box_introduction,0.029494,0.019914,0.000000,0.000000,0.079405,0.817822,1.000000,0.000647,0.117479,0.000000,0.002873,0.175952,0.824353
57,box_introduction,0.029771,0.019951,0.000000,0.000000,0.083576,0.803960,1.000000,0.000332,0.114482,0.000000,0.001441,0.185168,0.819130
58,box_introduction,0.028509,0.019096,0.000000,0.000000,0.080694,0.790099,1.000000,0.000130,0.103746,0.000000,0.000995,0.192287,0.824789
59,box_introduction,0.029651,0.020255,0.000000,0.000000,0.079815,0.801980,1.000000,0.000440,0.098252,0.000000,0.001389,0.197133,0.833210
